cow,dyield_cl,dyield_lb_cl,dyield_lf_cl,dyield_rb_cl,dyield_rf_cl,dim,dyield_dim_cl,dyield_rb_dim_cl,dyield_rf_dim_cl,dyield_lb_dim_cl,dyield_lf_dim_cl,dyield_7d,dyield_lb_7d,dyield_lf_7d,dyield_rb_7d,dyield_rf_7d,adyield_nd_7d,adyield_rb_nd_7d,adyield_rf_nd_7d,adyield_lb_nd_7d,adyield_lf_nd_7d,vyield_cl,vyield_lb_cl,vyield_lf_cl,vyield_rf_cl,vyield_rb_cl,vyield_7d,vyield_lb_7d,vyield_lf_7d,vyield_rf_7d,vyield_rb_7d
722,7686.42,1755.65,2114.23,1992.05,1824.49,117,65.69589743589744,17.026068376068377,15.593931623931624,15.005555555555556,18.070341880341882,509.99,86.68,148.11,142.98,132.22,72.85571428571428,20.425714285714285,18.888571428571428,12.382857142857144,21.15857142857143,24.1711320754717,5.520911949685535,6.648522012578616,5.737389937106919,6.264308176100629,26.841578947368422,4.562105263157894,7.795263157894738,6.958947368421053,7.525263157894736
723,1279.05,369.72,346.0,287.01,276.32,35,36.544285714285714,8.200285714285714,7.894857142857143,10.563428571428572,9.885714285714286,286.15,82.78,75.58,64.10000000000001,63.69,40.878571428571426,9.157142857142858,9.098571428571429,11.825714285714286,10.797142857142857,15.598170731707317,4.508780487804878,4.219512195121951,3.3697560975609755,3.500121951219512,20.439285714285713,5.912857142857143,5.398571428571429,4.549285714285714,4.578571428571428
729,10222.26,2290.92,2424.48,2534.56,2972.3,170,60.13094117647059,14.909176470588235,17.484117647058824,13.476,14.26164705882353,462.78,104.65,110.72,114.28,133.13,66.11142857142856,16.325714285714287,19.018571428571427,14.950000000000001,15.817142857142857,23.772697674418605,5.327720930232558,5.638325581395349,6.91232558139535,5.894325581395349,25.71,5.813888888888889,6.151111111111111,7.396111111111111,6.348888888888889
736,11083.79,3052.77,2141.8,3415.08,2474.14,253,43.80944664031621,13.498339920948617,9.779209486166007,12.066284584980236,8.465612648221345,245.0,71.27000000000001,47.36,75.23,51.14,35.0,10.747142857142858,7.305714285714286,10.181428571428572,6.765714285714286,17.18417054263566,4.732976744186047,3.32062015503876,3.835875968992248,5.294697674418605,14.411764705882353,4.192352941176471,2.7858823529411763,3.008235294117647,4.425294117647059
738,10366.02,516.67,2413.85,5113.56,2321.94,293,35.37890784982935,17.452423208191128,7.924709897610922,1.7633788395904435,8.23839590443686,229.95,10.42,58.730000000000004,121.47999999999999,39.32,32.85,17.354285714285712,5.617142857142857,1.4885714285714287,8.39,12.180987074030552,0.6071327849588719,2.8364864864864865,2.7284841363102235,6.008883666274971,11.497499999999999,0.521,2.9364999999999997,1.966,6.074
747,11108.37,2671.85,2989.3,2612.87,2834.35,208,53.405625,12.561874999999999,13.626682692307693,12.845432692307693,14.371634615384616,306.81,75.57,81.02,72.58,77.64,43.83,10.368571428571428,11.09142857142857,10.795714285714284,11.574285714285713,20.685977653631287,4.9755121042830535,5.566666666666667,5.278119180633147,4.865679702048417,17.045,4.198333333333333,4.501111111111111,4.3133333333333335,4.032222222222222
764,7912.49,2556.69,2338.75,842.15,2174.9,164,48.246890243902435,5.135060975609756,13.261585365853659,15.589573170731708,14.260670731707316,321.93,114.42,100.82,17.25,89.44,45.99,2.4642857142857144,12.777142857142858,16.345714285714287,14.402857142857142,17.201065217391303,5.558021739130435,5.084239130434782,4.72804347826087,1.8307608695652173,16.943684210526317,6.022105263157894,5.306315789473683,4.707368421052632,0.9078947368421053
778,1913.84,806.19,0.0,597.99,509.66,54,35.44148148148148,11.07388888888889,9.438148148148148,14.929444444444446,0.0,345.41,138.86,0.0,110.17,96.38,49.34428571428572,15.73857142857143,13.768571428571429,19.837142857142858,0.0,11.741349693251534,4.945950920245399,,3.126748466257669,3.668650306748466,13.285,5.340769230769231,,3.7069230769230765,4.237307692307692
783,13139.13,3233.49,3215.0,2606.89,4083.75,453,29.004701986754966,5.754724061810154,9.014900662251655,7.137947019867549,7.097130242825607,,,,,,,,,,,13.758251308900523,3.385853403141361,3.3664921465968587,4.276178010471204,2.7297277486910994,,,,,
785,1577.73,402.67,354.1,409.78,411.18,36,43.825833333333335,11.382777777777777,11.421666666666667,11.185277777777777,9.836111111111112,360.73,91.48,81.87,95.1,92.28,51.53285714285715,13.585714285714285,13.182857142857143,13.06857142857143,11.695714285714287,13.96221238938053,3.5634513274336284,3.133628318584071,3.638761061946903,3.626371681415929,15.030416666666667,3.811666666666667,3.4112500000000003,3.845,3.9625
791,13641.67,3427.54,3319.9,3852.45,3041.78,331,41.21350453172205,11.63882175226586,9.189667673716013,10.35510574018127,10.029909365558913,,,,,,,,,,,19.105980392156862,4.80047619047619,4.649719887955182,4.260196078431373,5.395588235294118,,,,,
807,4209.09,1327.8899999999999,981.92,805.39,1093.89,84,50.10821428571429,9.58797619047619,13.0225,15.808214285714284,11.68952380952381,402.73,133.96,92.08,77.29,99.4,57.53285714285715,11.041428571428572,14.200000000000001,19.13714285714286,13.154285714285715,15.305781818181819,4.828690909090909,3.5706181818181815,3.9777818181818185,2.9286909090909092,16.1092,5.3584000000000005,3.6832,3.9760000000000004,3.0916
808,1491.79,481.55,319.55,460.96999999999997,229.72,30,49.72633333333333,15.365666666666666,7.657333333333333,16.051666666666666,10.651666666666667,416.73,130.26,88.5,132.03,65.94,59.53285714285715,18.861428571428572,9.42,18.608571428571427,12.642857142857142,14.344134615384615,4.630288461538462,3.072596153846154,2.208846153846154,4.432403846153846,15.434444444444445,4.8244444444444445,3.2777777777777777,2.442222222222222,4.89
810,10928.98,4488.69,1425.77,2592.46,2422.06,273,40.03289377289377,9.496190476190476,8.872014652014652,16.44208791208791,5.222600732600733,,,,,,,,,,,15.61282857142857,6.412414285714285,2.0368142857142857,3.460085714285714,3.7035142857142858,,,,,
828,15299.66,4711.67,2881.18,4265.06,3441.75,308,49.67422077922078,13.847597402597405,11.174512987012987,15.297629870129871,9.35448051948052,,,,,,,,,,,15.772845360824743,4.857391752577319,2.9702886597938143,3.5481958762886596,4.396969072164949,,,,,
833,7592.11,3187.35,8.64,2434.7400000000002,1961.3799999999999,162,46.864876543209874,15.02925925925926,12.107283950617283,19.675,0.05333333333333334,269.9,141.36,0.0,119.36,9.18,38.55714285714286,17.05142857142857,1.3114285714285714,20.194285714285716,0.0,15.123725099601593,6.349302788844621,0.45473684210526316,3.907131474103586,4.8500796812749,14.205263157894736,7.44,,0.48315789473684206,6.282105263157895
837,12186.92,3408.45,4265.09,4513.38,0.0,255,47.7918431372549,17.699529411764708,0.0,13.366470588235293,16.725843137254902,308.37,85.31,106.52,116.53999999999999,0.0,44.05285714285714,16.648571428571426,0.0,12.187142857142858,15.217142857142857,17.509942528735632,4.897198275862069,6.128002873563219,,6.4847413793103446,16.23,4.49,5.606315789473684,,6.133684210526315
842,10713.83,3918.5,0.0,4362.64,2432.69,219,48.92159817351598,19.920730593607306,11.108173515981735,17.89269406392694,0.0,347.36,124.42999999999999,0.0,144.79,78.14,49.62285714285714,20.684285714285714,11.162857142857144,17.775714285714283,0.0,16.688208722741432,6.103582554517134,,3.7892367601246106,6.795389408099689,19.297777777777778,6.912777777777778,,4.341111111111111,8.043888888888889
855,12.780000000000001,3.04,5.59,4.15,0.0,0,inf,inf,,inf,inf,,,,,,,,,,,6.390000000000001,1.52,2.795,,2.075,,,,,
856,6552.02,2024.98,1554.2,1371.33,1601.51,121,54.14892561983471,11.333305785123967,13.235619834710743,16.735371900826447,12.844628099173555,398.82,125.12,93.73,83.37,96.6,56.97428571428571,11.91,13.799999999999999,17.874285714285715,13.39,16.38005,5.06245,3.8855,4.003775,3.4283249999999996,18.12818181818182,5.6872727272727275,4.260454545454546,4.390909090909091,3.7895454545454546
861,8176.94,2468.57,1575.62,2441.57,1691.18,162,50.474938271604934,15.07141975308642,10.439382716049384,15.238086419753088,9.726049382716049,310.02,99.77,56.32,95.9,58.03,44.28857142857142,13.700000000000001,8.290000000000001,14.252857142857142,8.045714285714286,13.493300330033003,4.073547854785478,2.60003300330033,2.790726072607261,4.028993399339934,12.917499999999999,4.1570833333333335,2.3466666666666667,2.4179166666666667,3.995833333333333
868,3400.63,887.99,834.14,936.34,742.16,60,56.67716666666667,15.605666666666668,12.369333333333334,14.799833333333334,13.902333333333333,441.65999999999997,117.07,105.32,125.24000000000001,94.03,63.09428571428571,17.891428571428573,13.432857142857143,16.724285714285713,15.045714285714284,16.19347619047619,4.22852380952381,3.972095238095238,3.534095238095238,4.4587619047619045,20.075454545454548,5.321363636363636,4.787272727272728,4.274090909090909,5.692727272727272
872,14227.53,3394.48,3980.17,3332.62,3520.26,280,50.812607142857146,11.902214285714285,12.572357142857143,12.123142857142858,14.214892857142857,39.07,10.23,11.530000000000001,6.98,10.33,5.581428571428572,0.9971428571428572,1.4757142857142858,1.4614285714285715,1.6471428571428572,18.12424203821656,4.324178343949044,5.07028025477707,4.484407643312102,4.245375796178344,19.535,5.115,5.765000000000001,5.165,3.49
896,12683.63,3399.27,2968.34,3393.2,2922.82,284,44.660669014084505,11.947887323943661,10.29161971830986,11.969260563380281,10.451901408450706,208.49,59.08,42.67,45.52,61.22,29.784285714285716,6.502857142857144,8.745714285714286,8.44,6.095714285714286,16.934085447263016,4.538411214953271,3.9630707610146865,3.902296395193592,4.530307076101469,11.582777777777778,3.282222222222222,2.3705555555555557,3.401111111111111,2.5288888888888885
897,10456.77,3364.35,2038.02,3129.8,1924.6,201,52.023731343283586,15.571144278606965,9.575124378109452,16.73805970149254,10.139402985074627,344.42,113.16,61.739999999999995,104.37,65.15,49.20285714285715,14.91,9.307142857142859,16.165714285714284,8.819999999999999,19.151593406593406,6.161813186813187,3.732637362637363,3.524908424908425,5.732234432234432,18.127368421052633,5.95578947368421,3.2494736842105265,3.4289473684210527,5.493157894736842
902,2805.35,948.01,747.62,1109.72,0.0,65,43.15923076923077,17.072615384615386,0.0,14.584769230769231,11.501846153846154,335.56,126.81,70.52,138.23,0.0,47.93714285714286,19.747142857142855,0.0,18.115714285714287,10.074285714285713,16.215895953757226,5.479826589595375,4.32150289017341,,6.414566473988439,17.661052631578947,6.67421052631579,3.711578947368421,,7.275263157894736
904,7622.84,2337.93,1693.85,1953.91,1637.15,125,60.98272,15.63128,13.0972,18.703439999999997,13.550799999999999,410.21000000000004,132.66,86.39,107.95,83.21,58.60142857142858,15.421428571428573,11.887142857142857,18.951428571428572,12.34142857142857,18.41265700483092,5.647173913043478,4.091425120772946,3.9544685990338166,4.7195893719806765,17.092083333333335,5.5275,3.5995833333333334,3.467083333333333,4.497916666666667
905,13557.29,4676.82,2060.04,4473.37,2347.06,288,47.07392361111111,15.532534722222222,8.149513888888889,16.238958333333333,7.152916666666666,247.47,107.06,29.77,74.96000000000001,35.68,35.35285714285714,10.70857142857143,5.097142857142857,15.294285714285715,4.252857142857143,13.876448311156603,4.786919140225179,2.1085363357215967,2.402313203684749,4.578679631525077,12.3735,5.353,1.4885,1.784,3.7479999999999998
911,15131.75,4088.44,4540.36,2573.42,3929.53,293,51.64419795221843,8.783003412969283,13.411365187713312,13.953720136518772,15.496109215017064,35.56,9.7,10.05,8.690000000000001,7.12,5.08,1.2414285714285715,1.0171428571428571,1.3857142857142857,1.4357142857142857,18.319309927360774,4.949685230024214,5.496803874092009,4.757300242130751,3.1155205811138016,17.78,4.85,5.025,3.56,4.345000000000001
912,13608.97,3636.95,2748.1,3688.08,3535.84,278,48.95312949640287,13.266474820143884,12.71884892086331,13.082553956834532,9.88525179856115,207.07,60.08,29.04,61.519999999999996,56.43,29.58142857142857,8.788571428571428,8.061428571428571,8.582857142857142,4.148571428571429,18.59148907103825,4.968510928961749,3.7542349726775956,4.830382513661203,5.038360655737705,20.707,6.008,2.904,5.643,6.152
915,13020.85,3897.59,2673.33,3577.34,2872.59,246,52.93028455284553,14.542032520325204,11.67719512195122,15.843861788617886,10.86719512195122,325.2,93.93,61.05,101.13,69.09,46.457142857142856,14.447142857142856,9.870000000000001,13.418571428571429,8.721428571428572,19.97062883435583,5.977898773006135,4.100199386503068,4.405812883435583,5.486717791411043,17.11578947368421,4.943684210526317,3.2131578947368418,3.6363157894736844,5.322631578947369
921,12320.76,3656.6,2619.81,3373.09,2671.2599999999998,249,49.480963855421685,13.546546184738956,10.727951807228914,14.685140562248996,10.521325301204818,220.60999999999999,39.739999999999995,51.11,73.75999999999999,56.0,31.515714285714285,10.537142857142856,8.0,5.677142857142856,7.301428571428572,17.960291545189506,5.330320699708454,3.8189650145772593,3.89396501457726,4.917040816326531,12.256111111111112,2.207777777777778,2.839444444444444,3.111111111111111,4.097777777777778
922,8986.41,2121.44,2168.78,2358.42,2337.77,181,49.64867403314917,13.029944751381215,12.91585635359116,11.720662983425415,11.982209944751382,338.33,76.03999999999999,81.27,91.38,89.64,48.332857142857144,13.054285714285713,12.805714285714286,10.862857142857141,11.61,18.191113360323886,4.294412955465587,4.3902429149797575,4.732327935222672,4.774129554655871,19.901764705882353,4.472941176470589,4.780588235294117,5.272941176470589,5.375294117647059
924,5055.26,862.8,1638.86,949.51,1604.09,88,57.44613636363636,10.789886363636363,18.228295454545453,9.804545454545455,18.62340909090909,433.28999999999996,69.51,142.46,82.44,138.88,61.89857142857142,11.777142857142858,19.84,9.930000000000001,20.351428571428574,15.226686746987953,2.5987951807228913,4.936325301204819,4.831596385542168,2.859969879518072,16.665,2.6734615384615386,5.479230769230769,5.341538461538462,3.170769230769231
925,8405.24,2557.03,1801.54,2225.7,1820.97,192,43.77729166666666,11.5921875,9.48421875,13.317864583333334,9.383020833333333,301.56,93.91,59.1,83.03,65.52,43.08,11.861428571428572,9.36,13.415714285714285,8.442857142857143,20.70256157635468,6.298103448275863,4.437290640394089,4.485147783251231,5.4820197044334975,21.54,6.707857142857143,4.2214285714285715,4.68,5.930714285714286
929,666.74,159.63,197.68,163.58,145.85,14,47.62428571428571,11.684285714285716,10.417857142857143,11.402142857142858,14.120000000000001,357.81,85.97,108.51,88.87,74.46000000000001,51.11571428571428,12.695714285714287,10.637142857142859,12.281428571428572,15.501428571428573,18.520555555555557,4.434166666666666,5.4911111111111115,4.051388888888889,4.5438888888888895,17.8905,4.2985,5.4255,3.723,4.4435
935,3887.85,1314.76,1309.02,1249.0,15.07,91,42.723626373626374,13.725274725274724,0.1656043956043956,14.447912087912087,14.384835164835165,359.73,122.35,122.34,115.03999999999999,0.0,51.39,16.434285714285714,0.0,17.478571428571428,17.47714285714286,14.452973977695168,4.887583643122676,4.866245353159851,1.5070000000000001,4.643122676579925,15.640434782608697,5.319565217391304,5.3191304347826085,,5.001739130434783
937,14420.97,3726.98,3155.98,4083.46,3454.55,356,40.508342696629214,11.470393258426967,9.703792134831462,10.469044943820224,8.865112359550562,39.84,10.85,8.69,10.870000000000001,9.43,5.691428571428572,1.552857142857143,1.3471428571428572,1.55,1.2414285714285713,20.16918881118881,5.21255944055944,4.413958041958042,4.831538461538462,5.711132867132867,19.92,5.425,4.345,4.715,5.4350000000000005
948,18658.22,5827.64,1711.65,5918.98,5199.95,437,42.69615560640732,13.544576659038901,11.899199084668192,13.335560640732266,3.9168192219679634,252.93,80.74000000000001,0.0,92.46,79.73,36.13285714285714,13.208571428571428,11.39,11.534285714285716,0.0,14.808111111111112,4.625111111111111,2.097610294117647,4.126944444444444,4.697603174603175,14.878235294117648,4.749411764705882,,4.69,5.438823529411764
956,14587.27,4006.28,3066.34,4627.35,2887.3,384,37.987682291666665,12.050390625,7.519010416666667,10.433020833333334,7.985260416666667,,,,,,,,,,,15.872981501632209,4.359390642002176,3.3366050054406964,3.1417845484221982,5.0352013057671385,,,,,
957,16396.55,4873.3,3423.56,4723.4,3376.29,335,48.944925373134325,14.099701492537312,10.078477611940299,14.547164179104477,10.219582089552238,46.0,16.439999999999998,9.04,13.350000000000001,7.17,6.571428571428571,1.9071428571428573,1.0242857142857142,2.3485714285714283,1.2914285714285714,20.75512658227848,6.16873417721519,4.333620253164557,4.273784810126582,5.978987341772151,23.0,8.219999999999999,4.52,3.585,6.675000000000001
962,6487.81,2005.01,1320.62,2008.5,1153.68,118,54.981440677966106,17.021186440677965,9.776949152542374,16.991610169491526,11.191694915254237,387.75,122.55,78.41,120.15,66.64,55.392857142857146,17.164285714285715,9.52,17.507142857142856,11.20142857142857,17.30082666666667,5.3466933333333335,3.521653333333333,3.07648,5.356,17.625,5.570454545454545,3.564090909090909,3.0290909090909093,5.461363636363637
968,13137.33,3543.56,3977.7400000000002,0.0,5616.03,359,36.594233983286905,0.0,15.643537604456824,9.870640668523677,11.080055710306407,,,,,,,,,,,13.474184615384615,3.6344205128205127,4.079733333333333,5.760030769230769,,,,,,
970,8493.96,2262.6,1951.02,2575.95,1704.39,165,51.47854545454545,15.611818181818181,10.329636363636364,13.712727272727273,11.824363636363636,330.27,96.47,72.23,100.23,61.339999999999996,47.18142857142857,14.31857142857143,8.762857142857142,13.781428571428572,10.31857142857143,15.700480591497225,4.182255083179298,3.606321626617375,3.150443622920518,4.761460258780037,17.382631578947368,5.077368421052632,3.801578947368421,3.2284210526315786,5.275263157894737
971,3202.92,1008.59,579.72,1098.73,515.88,70,45.756,15.696142857142858,7.369714285714285,14.408428571428573,8.281714285714287,342.16,116.4,57.59,117.0,51.17,48.88,16.714285714285715,7.3100000000000005,16.62857142857143,8.227142857142857,15.700588235294118,4.944068627450981,2.841764705882353,2.5288235294117647,5.385931372549019,14.876521739130435,5.060869565217391,2.503913043478261,2.2247826086956524,5.086956521739131
973,15146.4,3663.6,4196.54,3425.61,3860.65,313,48.39105431309904,10.944440894568691,12.334345047923323,11.70479233226837,13.407476038338658,245.98,59.8,64.78999999999999,63.129999999999995,58.26,35.14,9.018571428571429,8.322857142857142,8.542857142857143,9.255714285714285,17.86132075471698,4.320283018867924,4.9487499999999995,4.552653301886792,4.039634433962265,18.921538461538464,4.6,4.983846153846154,4.481538461538461,4.8561538461538465
975,8825.66,2684.0,1632.12,2566.32,1943.22,147,60.03850340136054,17.45795918367347,13.219183673469388,18.258503401360546,11.102857142857141,387.49,122.3,72.15,115.67999999999999,77.36,55.355714285714285,16.525714285714283,11.051428571428572,17.47142857142857,10.307142857142859,19.103160173160173,5.809523809523809,3.5327272727272723,4.206103896103897,5.554805194805195,18.451904761904764,5.8238095238095235,3.435714285714286,3.683809523809524,5.508571428571429
978,11616.95,2899.32,2933.55,3067.07,2717.01,234,49.645085470085476,13.107136752136753,11.611153846153847,12.390256410256411,12.536538461538463,310.85,74.92999999999999,78.38,81.85,75.69,44.40714285714286,11.692857142857141,10.812857142857142,10.704285714285714,11.197142857142856,14.989612903225808,3.741058064516129,3.785225806451613,3.5058193548387098,3.957509677419355,14.802380952380954,3.568095238095238,3.7323809523809524,3.604285714285714,3.8976190476190475
981,1044.39,276.81,264.86,233.98,268.74,24,43.51625000000001,9.749166666666666,11.1975,11.53375,11.035833333333334,351.01,92.21000000000001,88.17,80.92,89.71,50.144285714285715,11.56,12.815714285714284,13.172857142857143,12.595714285714285,13.741973684210528,3.6422368421052633,3.4850000000000003,3.5360526315789476,3.0786842105263155,14.0404,3.6883999999999997,3.5268,3.5883999999999996,3.2368
985,13734.79,0.0,4327.12,5000.28,4407.39,326,42.13125766871166,15.338282208588955,13.519601226993865,0.0,13.273374233128834,40.93,0.0,12.850000000000001,15.06,13.02,5.847142857142857,2.1514285714285717,1.8599999999999999,0.0,1.8357142857142859,14.15957731958763,,4.460948453608247,4.543701030927835,5.154927835051546,20.465,,6.425000000000001,6.51,7.53
986,6149.27,1523.29,1474.68,1818.64,1332.66,110,55.902454545454546,16.53309090909091,12.11509090909091,13.848090909090908,13.40618181818182,413.25,104.81,100.16,125.65,82.63,59.035714285714285,17.95,11.804285714285713,14.972857142857142,14.308571428571428,21.351631944444446,5.2892013888888885,5.120416666666667,4.627291666666667,6.314722222222223,22.958333333333332,5.822777777777778,5.564444444444444,4.5905555555555555,6.980555555555556
1003,6063.89,1940.61,0.0,2077.26,2046.02,115,52.72947826086957,18.06313043478261,17.791478260869564,16.87486956521739,0.0,389.32,131.01,0.0,131.59,126.72,55.61714285714286,18.798571428571428,18.102857142857143,18.715714285714284,0.0,14.102069767441861,4.513046511627906,,4.758186046511628,4.830837209302326,15.572799999999999,5.240399999999999,,5.0687999999999995,5.2636
1014,14284.45,5002.04,3406.97,2187.44,3688.0,407,35.09692874692875,5.374545454545455,9.061425061425062,12.29002457002457,8.37093366093366,,,,,,,,,,,14.516717479674798,5.083373983739837,3.4623678861788614,3.747967479674797,2.223008130081301,,,,,
1023,6776.81,1642.8700000000001,1673.47,1751.27,1709.2,118,57.430593220338984,14.841271186440677,14.484745762711865,13.922627118644069,14.181949152542373,439.27,105.23,108.99,114.30999999999999,110.74000000000001,62.75285714285714,16.33,15.820000000000002,15.032857142857143,15.569999999999999,19.52971181556196,4.734495677233429,4.8226801152737755,4.925648414985591,5.046887608069164,19.96681818181818,4.783181818181818,4.954090909090909,5.033636363636363,5.195909090909091
1036,15576.7,3282.69,4206.09,4189.22,3898.7,345,45.14985507246377,12.142666666666667,11.300579710144927,9.51504347826087,12.191565217391306,,,,,,,,,,,18.325529411764705,3.8619882352941177,4.9483411764705885,4.586705882352941,4.928494117647059,,,,,
1039,16167.07,4213.63,3991.37,4682.8,3279.27,302,53.533344370860924,15.505960264900663,10.858509933774835,13.952417218543047,13.216456953642384,315.35,81.97,79.24,97.04,57.1,45.050000000000004,13.862857142857143,8.157142857142857,11.709999999999999,11.319999999999999,23.43053623188406,6.106710144927536,5.784594202898551,4.752565217391305,6.786666666666667,16.597368421052632,4.314210526315789,4.170526315789473,3.005263157894737,5.107368421052632
1040,12837.6,3997.9,2147.61,4380.59,2311.5,214,59.98878504672897,20.470046728971962,10.801401869158878,18.68177570093458,10.035560747663553,433.87,135.61,70.51,151.82,75.93,61.98142857142857,21.68857142857143,10.847142857142858,19.372857142857146,10.072857142857144,23.512087912087914,7.322161172161172,3.9333516483516484,4.233516483516484,8.023058608058609,24.10388888888889,7.53388888888889,3.9172222222222226,4.218333333333334,8.434444444444445
1042,10234.79,3468.15,2777.43,2178.89,1810.32,286,35.78597902097902,7.618496503496503,6.329790209790209,12.126398601398602,9.711293706293706,,,,,,,,,,,15.578066971080672,5.278767123287671,4.227442922374429,2.755433789954338,3.3164231354642313,,,,,
1052,12239.88,3217.13,2583.76,3257.85,3181.14,252,48.57095238095238,12.92797619047619,12.623571428571427,12.766388888888889,10.253015873015874,,,,,,,,,,,15.999843137254901,4.205398692810458,3.377464052287582,4.158352941176471,4.258627450980392,,,,,
1056,13891.74,4394.14,2999.01,3682.31,2816.28,315,44.1007619047619,11.689873015873015,8.94057142857143,13.949650793650795,9.520666666666667,,,,,,,,,,,17.364675,5.492675,3.7487625,3.52035,4.6028875,,,,,
1057,856.8,179.25,162.49,235.93,279.13,20,42.839999999999996,11.7965,13.9565,8.9625,8.124500000000001,325.09000000000003,72.28,60.09,89.58,103.14,46.441428571428574,12.797142857142857,14.734285714285715,10.325714285714286,8.584285714285715,19.04,3.9833333333333334,3.6108888888888893,6.2028888888888885,5.242888888888889,23.220714285714287,5.162857142857143,4.292142857142857,7.367142857142857,6.398571428571429
1058,20031.04,5558.16,4331.43,5158.61,4982.84,445,45.013573033707864,11.59238202247191,11.197393258426967,12.490247191011235,9.733550561797754,279.13,72.78,61.17,76.77,68.41,39.87571428571429,10.967142857142857,9.772857142857143,10.397142857142857,8.73857142857143,16.790477787091366,4.658977367979882,3.63070410729254,4.176730930427494,4.32406538139145,15.507222222222222,4.043333333333333,3.3983333333333334,3.8005555555555555,4.265
