Animal Number;Date;Incomplete;Incomplete Milkings;Kickoff LF;Kickoff LR;Kickoff RF;Kickoff RR;Incomplete Milkings;OCC(*1000 cells/ml);Peak Flow LF;Peak Flow LR;Peak Flow RF;Peak Flow RR;Yield LF;Yield LR;Yield RF;Yield RR;Yield/Hour;Yield/Hour LF;Yield/Hour LR;Yield/Hour RF;Yield/Hour RR;Avg. Milking Duration;Avg. Milking Interval;Days In Milk;Milk Duration (mm:ss);Lactation Number;Position;Teats Not Found;Begin Time;End Time;Mean Flow LF;Mean Flow LR;Mean Flow RF;Mean Flow RR
1406;11/12/2023;;0;Unchecked;Unchecked;Unchecked;Checked;0;;1.92;0.60;1.92;2.04;2.72;0.17;3.05;3.67;1.02;0.29;0.02;0.32;0.39;08:15;09:15:43;207;08:15;1;0;LR;11/12/2023 3:11 PM;3:19 PM;1.38;0.24;1.50;1.50
1262;11/12/2023;LR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.56;0.00;1.44;1.74;3.34;0.00;3.46;3.94;2.33;0.72;0.00;0.75;0.85;10:14;04:27:27;107;10:14;2;0;LR;11/12/2023 2:59 PM;3:09 PM;1.14;0.00;0.96;1.26
1507;11/12/2023;;0;Unchecked;Checked;Unchecked;Unchecked;0;;1.62;0.36;1.20;1.20;0.63;0.12;1.91;2.04;0.35;0.05;0.01;0.14;0.15;08:02;13:12:53;2;08:02;1;0;LR;11/12/2023 7:36 AM;7:44 AM;0.54;0.18;0.84;0.90
1507;11/11/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;0.66;0.60;1.08;1.14;0.25;0.08;1.41;1.38;0.27;0.02;0.01;0.12;0.12;04:34;11:16:54;1;04:34;1;0;LR;11/11/2023 6:18 PM;6:23 PM;0.30;0.30;0.78;0.78
1192;11/11/2023;LR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;11;1.38;0.00;1.38;2.34;2.42;0.00;2.01;4.83;1.09;0.28;0.00;0.24;0.57;10:39;08:21:28;347;10:39;2;0;LR;11/11/2023 5:06 PM;5:17 PM;1.08;0.00;0.96;1.74
1507;11/10/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;0.78;0.78;1.14;1.68;0.29;0.10;0.67;0.89;0.00;0.00;0.00;0.00;0.00;05:49;;0;05:49;1;0;LR;11/10/2023 5:23 PM;5:29 PM;0.30;0.42;0.66;0.96
1262;11/10/2023;LR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.44;0.42;1.32;1.56;2.42;0.07;3.02;3.21;1.82;0.50;0.01;0.63;0.67;09:47;04:37:45;105;09:47;2;0;LR;11/10/2023 4:42 PM;4:52 PM;1.08;0.18;0.90;1.08
1262;11/10/2023;LR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;8;1.80;0.00;1.86;1.86;6.63;0.00;6.93;6.47;1.78;0.59;0.00;0.62;0.57;08:19;11:08:06;105;08:19;2;0;LR;11/10/2023 11:56 AM;12:04 PM;1.26;0.00;1.38;1.38
1237;11/14/2023;LF, RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;1.92;0.00;1.44;0.00;3.23;0.00;3.97;0.91;0.00;0.41;0.00;0.50;05:59;07:50:18;308;05:59;2;0;LF, RF;11/14/2023 7:26 PM;7:32 PM;0.00;1.38;0.00;1.08
861;11/17/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;97;1.32;1.62;0.00;1.80;2.41;4.00;0.00;4.37;1.45;0.32;0.54;0.00;0.59;05:54;07:20:16;162;05:54;4;0;RF;11/17/2023 2:35 AM;2:41 AM;0.90;1.26;0.00;1.32
1148;11/17/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;345;2.34;2.34;0.00;1.62;5.08;6.01;0.00;3.32;1.93;0.68;0.81;0.00;0.45;05:44;07:21:30;129;05:44;3;0;RF;11/17/2023 2:21 AM;2:27 AM;1.56;1.80;0.00;1.02
736;11/17/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;17;1.02;1.26;0.00;1.26;1.89;3.39;0.00;3.60;1.17;0.25;0.45;0.00;0.47;06:00;07:29:47;253;06:00;5;0;RF;11/17/2023 2:13 AM;2:19 AM;0.78;0.96;0.00;0.96
1259;11/17/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;11;1.80;1.68;0.00;1.62;3.81;4.10;0.00;3.85;1.43;0.46;0.50;0.00;0.47;05:47;08:07:44;249;05:47;2;0;RF;11/17/2023 2:03 AM;2:09 AM;1.26;1.26;0.00;1.08
1101;11/17/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;128;2.10;2.10;0.00;;4.27;4.21;0.00;;1.20;0.61;0.60;0.00;0.00;04:45;06:58:21;177;04:45;3;0;RF;11/17/2023 1:51 AM;1:56 AM;1.56;1.56;0.00;
1262;11/15/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.68;1.98;0.72;1.56;5.16;6.88;0.15;5.35;2.59;0.76;1.01;0.02;0.79;11:13;06:35:46;110;11:13;2;0;RF;11/15/2023 5:51 AM;6:02 AM;1.14;1.32;0.30;1.08
1472;11/15/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.38;0.84;0.00;0.90;2.27;2.03;0.00;2.20;0.80;0.28;0.25;0.00;0.27;05:50;08:02:08;58;05:50;1;0;RF;11/15/2023 2:47 AM;2:52 AM;0.84;0.60;0.00;0.60
1480;11/14/2023;RF;1;Unchecked;Unchecked;Checked;Unchecked;1;;1.02;1.44;0.54;1.26;2.30;3.63;0.04;3.21;1.13;0.28;0.45;0.00;0.40;10:48;07:56:47;24;10:48;1;0;RF;11/14/2023 6:49 PM;7:00 PM;0.54;0.96;0.36;0.60
1457;11/12/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.68;1.50;0.00;1.26;3.15;3.23;0.00;4.20;1.58;0.47;0.48;0.00;0.63;09:11;06:33:20;33;09:11;1;0;RF;11/12/2023 9:21 PM;9:31 PM;1.14;1.08;0.00;0.90
1335;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.92;2.58;0.00;2.64;2.63;5.22;0.00;4.76;1.42;0.30;0.59;0.00;0.53;09:36;08:44:53;38;09:36;2;0;RF;11/11/2023 5:29 AM;5:38 AM;1.44;1.98;0.00;1.74
1325;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;;2.52;0.00;1.56;;7.26;0.00;1.79;0.83;0.00;0.67;0.00;0.16;06:06;10:46:49;79;06:06;2;0;RF;11/11/2023 5:21 AM;5:27 AM;;1.80;0.00;1.08
686;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;2.04;2.22;0.00;2.16;3.30;5.31;0.00;4.75;1.98;0.49;0.79;0.00;0.71;10:00;06:34:13;44;10:00;5;0;RF;11/11/2023 5:11 AM;5:21 AM;1.44;1.38;0.00;1.50
1433;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.44;1.50;0.00;1.32;1.90;3.51;0.00;2.89;0.82;0.19;0.35;0.00;0.29;10:16;09:52:50;189;10:16;1;0;RF;11/11/2023 4:54 AM;5:05 AM;1.02;1.08;0.00;0.96
970;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.44;2.52;0.00;1.86;2.70;4.86;0.00;4.99;1.41;0.30;0.55;0.00;0.56;12:40;08:42:18;159;12:40;4;0;RF;11/11/2023 3:07 AM;3:20 AM;0.96;1.74;0.00;1.38
571;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.02;1.32;0.00;1.62;2.89;5.56;0.00;4.22;1.31;0.30;0.58;0.00;0.44;11:50;09:27:40;22;11:50;6;0;RF;11/11/2023 2:49 AM;3:01 AM;0.78;1.08;0.00;1.26
1389;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.80;0.66;0.00;1.14;5.43;0.46;0.00;3.71;0.66;0.37;0.03;0.00;0.25;12:21;14:26:58;306;12:21;1;0;RF;11/11/2023 2:34 AM;2:46 AM;1.26;0.24;0.00;0.84
1453;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.62;2.46;0.00;1.80;0.85;4.34;0.00;3.05;1.28;0.13;0.67;0.00;0.47;09:38;06:16:23;87;09:38;1;0;RF;11/11/2023 2:20 AM;2:29 AM;1.08;1.68;0.00;1.38
1429;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.20;1.68;0.00;1.26;1.75;2.69;0.00;2.66;1.08;0.27;0.41;0.00;0.40;10:14;06:25:17;197;10:14;1;0;RF;11/11/2023 1:41 AM;1:51 AM;0.84;1.02;0.00;0.90
1457;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.92;1.56;0.00;1.32;2.63;2.59;0.00;3.42;1.57;0.48;0.47;0.00;0.62;05:27;05:24:10;32;05:27;1;0;RF;11/11/2023 1:34 AM;1:39 AM;1.38;1.14;0.00;1.02
1396;11/11/2023;RF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;25;;0.78;0.60;1.50;;0.34;0.09;1.53;0.00;0.00;0.00;0.00;0.00;10:19;00:06:54;217;10:19;1;0;RF;11/11/2023 12:10 AM;12:20 AM;;0.36;0.24;1.14
1262;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;0.24;2.04;1.80;1.86;0.02;7.38;7.89;7.43;2.08;0.00;0.68;0.72;0.68;09:06;10:47:03;112;09:06;2;0;LF;11/17/2023 11:17 PM;11:26 PM;0.12;1.20;1.26;1.44
1300;11/14/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;1.86;1.26;1.74;0.00;3.21;1.68;3.30;1.28;0.00;0.50;0.26;0.52;04:47;06:19:13;116;04:47;2;0;LF;11/14/2023 12:04 PM;12:09 PM;0.00;1.26;0.84;1.32
1441;11/14/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;0.00;1.98;1.56;1.56;0.00;3.48;2.94;1.17;0.92;0.00;0.42;0.36;0.14;05:08;08:11:31;189;05:08;1;0;LF;11/14/2023 6:28 AM;6:33 AM;0.00;1.44;1.14;0.84
1406;11/13/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;2.46;2.04;1.20;0.00;4.20;3.76;0.63;0.73;0.00;0.36;0.32;0.05;06:44;11:41:23;208;06:44;1;0;LF;11/13/2023 3:01 AM;3:07 AM;0.00;1.32;1.50;0.54
1329;11/12/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;1.80;1.26;1.50;0.00;2.62;2.22;2.51;1.10;0.00;0.39;0.33;0.38;04:53;06:34:47;350;04:53;1;0;LF;11/12/2023 7:44 PM;7:49 PM;0.00;1.38;0.90;1.14
1412;11/12/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;0.90;1.44;1.02;0.00;0.62;4.95;4.80;1.04;0.00;0.06;0.49;0.48;08:41;09:51:14;195;08:41;1;0;LF;11/12/2023 7:24 PM;7:33 PM;0.00;0.36;1.02;0.78
1487;11/12/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;1.74;1.32;1.56;0.00;4.50;3.51;4.41;1.13;0.00;0.41;0.32;0.40;06:45;10:53:29;20;06:45;1;0;LF;11/12/2023 7:16 PM;7:22 PM;0.00;1.14;0.96;1.02
1424;11/12/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;1.26;1.44;1.50;0.00;2.12;2.98;2.40;1.11;0.00;0.31;0.44;0.35;05:28;06:40:42;174;05:28;1;0;LF;11/12/2023 7:08 PM;7:13 PM;0.00;0.90;0.96;1.14
1291;11/12/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;1.62;2.40;2.40;0.00;2.84;3.25;4.03;1.38;0.00;0.39;0.44;0.55;04:52;07:14:38;120;04:52;2;0;LF;11/12/2023 6:52 PM;6:57 PM;0.00;1.20;1.74;1.50
1476;11/12/2023;LF;1;Checked;Unchecked;Unchecked;Unchecked;1;;0.24;0.84;0.84;0.84;0.03;1.54;1.63;1.64;1.06;0.01;0.34;0.36;0.36;08:03;04:25:13;28;08:03;1;0;LF;11/12/2023 6:44 PM;6:52 PM;0.12;0.60;0.60;0.54
1262;11/11/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;165;0.24;1.50;1.38;1.50;0.04;6.22;6.42;6.47;1.77;0.00;0.57;0.59;0.60;09:00;10:40:44;106;09:00;2;0;LF;11/11/2023 3:33 AM;3:42 AM;0.12;1.14;1.02;1.08
1335;11/10/2023;LF;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;2.40;1.74;1.98;0.00;4.74;3.38;4.46;1.38;0.00;0.52;0.37;0.49;04:53;09:00:45;37;04:53;2;0;LF;11/10/2023 4:01 AM;4:05 AM;0.00;1.86;1.38;1.50
902;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.44;1.86;;1.92;4.57;8.15;;9.05;2.30;0.48;0.86;0.00;0.96;09:09;09:18:51;66;09:09;4;0;;11/17/2023 11:57 PM;12:07 AM;0.84;1.38;;1.38
1246;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;22;1.14;1.62;1.86;1.56;1.62;5.29;4.00;2.88;1.91;0.22;0.73;0.55;0.40;06:28;07:06:52;249;06:28;2;0;;11/17/2023 11:57 PM;12:03 AM;0.78;1.20;1.44;1.08
1360;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.20;1.32;1.20;1.26;3.43;3.43;3.53;3.19;1.54;0.39;0.39;0.40;0.36;06:48;08:43:13;281;06:48;1;0;;11/17/2023 11:56 PM;12:02 AM;0.84;1.02;0.84;0.84
1164;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;17;2.22;1.74;3.00;2.10;5.14;6.31;5.51;5.80;2.62;0.59;0.73;0.63;0.67;07:04;08:34:22;24;07:04;3;0;;11/17/2023 11:55 PM;12:02 AM;1.68;1.32;1.92;1.68
1435;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;2.34;1.92;1.68;1.38;4.64;5.05;5.16;4.79;1.46;0.34;0.38;0.38;0.36;07:20;13:20:51;130;07:20;1;0;;11/17/2023 11:50 PM;11:57 PM;1.68;1.50;1.32;1.02
1100;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;20;1.50;1.74;1.50;1.80;3.02;4.54;3.18;4.33;1.72;0.35;0.52;0.36;0.49;06:04;08:39:38;284;06:04;3;0;;11/17/2023 11:50 PM;11:56 PM;1.02;1.26;0.90;1.26
1173;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.26;1.08;1.20;1.32;3.15;2.99;2.53;3.36;2.03;0.53;0.50;0.43;0.57;07:16;05:48:40;6;07:16;3;0;;11/17/2023 11:48 PM;11:55 PM;0.84;0.66;0.72;0.72
904;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;14;1.14;1.26;1.32;1.08;2.96;4.29;2.78;3.41;2.76;0.61;0.88;0.57;0.70;07:28;04:44:44;125;07:28;4;0;;11/17/2023 11:45 PM;11:53 PM;0.78;0.84;0.84;0.84
1266;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;45;1.14;1.14;1.50;1.38;2.97;5.01;2.40;3.60;1.92;0.41;0.69;0.33;0.49;08:02;07:09:22;222;08:02;2;0;;11/17/2023 11:41 PM;11:49 PM;0.78;0.84;0.96;1.02
1478;11/17/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.92;1.86;1.86;1.56;2.86;3.40;3.07;2.93;1.60;0.37;0.44;0.40;0.38;04:52;07:34:15;72;04:52;1;0;;11/17/2023 11:44 PM;11:49 PM;1.32;1.50;1.56;1.20
