Animal Number;Date;Begin Time;End Time;Yield;Kickoff LF;Kickoff Milkings;Kickoff LR;Kickoff RF;Kickoff RR
971;10/19/2023;10/19/2023 12:51 AM;12:56 AM;18.16;Unchecked;0;Unchecked;Unchecked;Unchecked
1460;10/19/2023;10/19/2023 12:50 AM;1:00 AM;11.92;Unchecked;0;Unchecked;Unchecked;Unchecked
1281;10/19/2023;10/19/2023 12:57 AM;1:03 AM;15.95;Unchecked;0;Unchecked;Unchecked;Unchecked
1061;10/19/2023;10/19/2023 12:57 AM;1:05 AM;19.09;Unchecked;0;Unchecked;Unchecked;Unchecked
1074;10/19/2023;10/19/2023 12:58 AM;1:06 AM;21.05;Unchecked;0;Unchecked;Unchecked;Unchecked
1361;10/19/2023;10/19/2023 1:32 AM;1:37 AM;8.52;Unchecked;0;Unchecked;Unchecked;Unchecked
1271;10/19/2023;10/19/2023 1:32 AM;1:40 AM;18.24;Unchecked;0;Unchecked;Unchecked;Unchecked
1264;10/19/2023;10/19/2023 1:40 AM;1:44 AM;16.37;Unchecked;0;Unchecked;Unchecked;Unchecked
924;10/19/2023;10/19/2023 1:39 AM;1:45 AM;10.60;Unchecked;0;Unchecked;Unchecked;Unchecked
1453;10/19/2023;10/19/2023 1:39 AM;1:45 AM;15.68;Unchecked;0;Unchecked;Unchecked;Unchecked
1405;10/19/2023;10/19/2023 1:41 AM;1:46 AM;9.29;Unchecked;0;Unchecked;Unchecked;Unchecked
1282;10/19/2023;10/19/2023 1:45 AM;1:50 AM;12.74;Unchecked;0;Unchecked;Unchecked;Unchecked
1449;10/19/2023;10/19/2023 1:46 AM;1:52 AM;12.25;Unchecked;0;Unchecked;Unchecked;Unchecked
1286;10/19/2023;10/19/2023 1:45 AM;1:54 AM;18.64;Unchecked;0;Unchecked;Unchecked;Unchecked
1311;10/19/2023;10/19/2023 1:48 AM;1:54 AM;16.28;Unchecked;0;Unchecked;Unchecked;Unchecked
1101;10/19/2023;10/19/2023 1:51 AM;1:56 AM;12.29;Unchecked;0;Unchecked;Unchecked;Unchecked
723;10/19/2023;10/19/2023 1:54 AM;1:59 AM;12.44;Unchecked;0;Unchecked;Unchecked;Unchecked
1320;10/19/2023;10/19/2023 1:53 AM;2:01 AM;15.33;Unchecked;0;Unchecked;Unchecked;Unchecked
1412;10/19/2023;10/19/2023 1:55 AM;2:05 AM;15.51;Unchecked;1;Unchecked;Checked;Unchecked
833;10/19/2023;10/19/2023 2:00 AM;2:07 AM;15.20;Unchecked;0;Unchecked;Unchecked;Unchecked
1067;10/19/2023;10/19/2023 2:02 AM;2:07 AM;13.20;Unchecked;0;Unchecked;Unchecked;Unchecked
1266;10/19/2023;10/19/2023 1:57 AM;2:09 AM;22.87;Checked;1;Unchecked;Unchecked;Unchecked
1334;10/19/2023;10/19/2023 2:06 AM;2:14 AM;15.91;Unchecked;0;Unchecked;Unchecked;Unchecked
1272;10/19/2023;10/19/2023 2:08 AM;2:15 AM;13.52;Unchecked;0;Unchecked;Unchecked;Unchecked
1144;10/19/2023;10/19/2023 2:09 AM;2:15 AM;15.61;Unchecked;0;Unchecked;Unchecked;Unchecked
736;10/19/2023;10/19/2023 2:08 AM;2:17 AM;20.64;Unchecked;0;Unchecked;Unchecked;Unchecked
1451;10/19/2023;10/19/2023 2:15 AM;2:20 AM;7.56;Unchecked;1;Unchecked;Checked;Unchecked
1391;10/19/2023;10/19/2023 2:15 AM;2:20 AM;12.38;Unchecked;0;Unchecked;Unchecked;Unchecked
1294;10/19/2023;10/19/2023 2:18 AM;2:24 AM;13.60;Unchecked;0;Unchecked;Unchecked;Unchecked
1148;10/19/2023;10/19/2023 2:20 AM;2:26 AM;12.29;Unchecked;0;Unchecked;Unchecked;Unchecked
1168;10/19/2023;10/19/2023 2:16 AM;2:26 AM;20.88;Unchecked;0;Unchecked;Unchecked;Unchecked
1424;10/19/2023;10/19/2023 2:21 AM;2:29 AM;10.48;Unchecked;0;Unchecked;Unchecked;Unchecked
1363;10/19/2023;10/19/2023 2:26 AM;2:31 AM;13.21;Unchecked;0;Unchecked;Unchecked;Unchecked
978;10/19/2023;10/19/2023 2:25 AM;2:33 AM;13.13;Unchecked;0;Unchecked;Unchecked;Unchecked
1246;10/19/2023;10/19/2023 2:27 AM;2:34 AM;15.55;Unchecked;0;Unchecked;Unchecked;Unchecked
1432;10/19/2023;10/19/2023 2:32 AM;2:37 AM;8.72;Unchecked;0;Unchecked;Unchecked;Unchecked
1398;10/19/2023;10/19/2023 2:30 AM;2:38 AM;15.49;Unchecked;0;Unchecked;Unchecked;Unchecked
627;10/19/2023;10/19/2023 2:35 AM;2:41 AM;22.08;Unchecked;0;Unchecked;Unchecked;Unchecked
1397;10/19/2023;10/19/2023 2:38 AM;2:43 AM;9.65;Unchecked;0;Unchecked;Unchecked;Unchecked
1139;10/19/2023;10/19/2023 2:35 AM;2:46 AM;19.68;Unchecked;0;Unchecked;Unchecked;Unchecked
1312;10/19/2023;10/19/2023 2:39 AM;2:48 AM;17.61;Unchecked;0;Unchecked;Unchecked;Unchecked
1399;10/19/2023;10/19/2023 2:43 AM;2:52 AM;17.11;Unchecked;0;Unchecked;Unchecked;Unchecked
1084;10/19/2023;10/19/2023 2:46 AM;2:53 AM;17.89;Unchecked;0;Unchecked;Unchecked;Unchecked
1440;10/19/2023;10/19/2023 2:49 AM;2:55 AM;6.82;Unchecked;0;Unchecked;Unchecked;Unchecked
722;10/19/2023;10/19/2023 2:42 AM;2:56 AM;28.99;Unchecked;0;Unchecked;Unchecked;Unchecked
1368;10/19/2023;10/19/2023 2:52 AM;2:58 AM;18.69;Unchecked;0;Unchecked;Unchecked;Unchecked
896;10/19/2023;10/19/2023 2:54 AM;3:00 AM;11.40;Unchecked;0;Unchecked;Unchecked;Unchecked
1328;10/19/2023;10/19/2023 2:55 AM;3:01 AM;12.07;Unchecked;0;Unchecked;Unchecked;Unchecked
1300;10/19/2023;10/19/2023 3:03 AM;3:08 AM;10.41;Unchecked;0;Unchecked;Unchecked;Unchecked
1163;10/19/2023;10/19/2023 2:57 AM;3:09 AM;19.98;Unchecked;0;Unchecked;Unchecked;Unchecked
1236;10/19/2023;10/19/2023 3:02 AM;3:10 AM;15.80;Unchecked;0;Unchecked;Unchecked;Unchecked
1262;10/19/2023;10/19/2023 3:02 AM;3:13 AM;17.99;Unchecked;0;Unchecked;Unchecked;Unchecked
1404;10/19/2023;10/19/2023 3:10 AM;3:14 AM;8.52;Unchecked;0;Unchecked;Unchecked;Unchecked
1232;10/19/2023;10/19/2023 3:10 AM;3:18 AM;13.22;Unchecked;0;Unchecked;Unchecked;Unchecked
1461;10/19/2023;10/19/2023 3:13 AM;3:19 AM;10.22;Unchecked;0;Unchecked;Unchecked;Unchecked
1252;10/19/2023;10/19/2023 3:13 AM;3:22 AM;19.27;Unchecked;0;Unchecked;Unchecked;Unchecked
970;10/19/2023;10/19/2023 3:20 AM;3:25 AM;10.16;Unchecked;0;Unchecked;Unchecked;Unchecked
1321;10/19/2023;10/19/2023 3:19 AM;3:25 AM;19.23;Unchecked;0;Unchecked;Unchecked;Unchecked
1133;10/19/2023;10/19/2023 3:26 AM;3:30 AM;12.21;Unchecked;0;Unchecked;Unchecked;Unchecked
1325;10/19/2023;10/19/2023 3:26 AM;3:32 AM;10.89;Unchecked;0;Unchecked;Unchecked;Unchecked
1263;10/19/2023;10/19/2023 3:27 AM;3:33 AM;16.81;Unchecked;0;Unchecked;Unchecked;Unchecked
747;10/19/2023;10/19/2023 3:27 AM;3:34 AM;14.16;Unchecked;0;Unchecked;Unchecked;Unchecked
1478;10/19/2023;10/19/2023 3:32 AM;3:36 AM;9.99;Unchecked;0;Unchecked;Unchecked;Unchecked
1261;10/19/2023;10/19/2023 3:33 AM;3:40 AM;14.85;Unchecked;0;Unchecked;Unchecked;Unchecked
729;10/19/2023;10/19/2023 3:34 AM;3:42 AM;19.07;Unchecked;0;Unchecked;Unchecked;Unchecked
1304;10/19/2023;10/19/2023 3:39 AM;3:46 AM;20.88;Unchecked;0;Unchecked;Unchecked;Unchecked
986;10/19/2023;10/19/2023 3:35 AM;3:46 AM;21.59;Unchecked;0;Unchecked;Unchecked;Unchecked
1409;10/19/2023;10/19/2023 3:42 AM;3:47 AM;10.39;Unchecked;0;Unchecked;Unchecked;Unchecked
1081;10/19/2023;10/19/2023 3:43 AM;3:51 AM;22.21;Unchecked;0;Unchecked;Unchecked;Unchecked
738;10/19/2023;10/19/2023 3:47 AM;3:51 AM;9.47;Unchecked;0;Unchecked;Unchecked;Unchecked
1376;10/19/2023;10/19/2023 3:47 AM;3:52 AM;13.19;Unchecked;0;Unchecked;Unchecked;Unchecked
1237;10/19/2023;10/19/2023 3:51 AM;3:57 AM;13.64;Unchecked;0;Unchecked;Unchecked;Unchecked
1258;10/19/2023;10/19/2023 3:52 AM;3:59 AM;19.45;Unchecked;0;Unchecked;Unchecked;Unchecked
1434;10/19/2023;10/19/2023 3:54 AM;3:59 AM;8.53;Unchecked;0;Unchecked;Unchecked;Unchecked
1276;10/19/2023;10/19/2023 3:51 AM;3:59 AM;20.34;Unchecked;0;Unchecked;Unchecked;Unchecked
1429;10/19/2023;10/19/2023 3:58 AM;4:05 AM;14.61;Unchecked;0;Unchecked;Unchecked;Unchecked
1225;10/19/2023;10/19/2023 3:59 AM;4:06 AM;18.95;Unchecked;0;Unchecked;Unchecked;Unchecked
1400;10/19/2023;10/19/2023 4:00 AM;4:06 AM;7.72;Unchecked;0;Unchecked;Unchecked;Unchecked
454;10/19/2023;10/19/2023 4:01 AM;4:07 AM;12.13;Unchecked;0;Unchecked;Unchecked;Unchecked
1456;10/19/2023;10/19/2023 4:06 AM;4:12 AM;7.95;Unchecked;0;Unchecked;Unchecked;Unchecked
1235;10/19/2023;10/19/2023 4:07 AM;4:15 AM;15.04;Unchecked;0;Unchecked;Unchecked;Unchecked
904;10/19/2023;10/19/2023 4:08 AM;4:16 AM;18.81;Unchecked;0;Unchecked;Unchecked;Unchecked
973;10/19/2023;10/19/2023 4:07 AM;4:16 AM;20.34;Unchecked;0;Unchecked;Unchecked;Unchecked
1486;10/19/2023;10/19/2023 4:13 AM;4:17 AM;8.35;Unchecked;0;Unchecked;Unchecked;Unchecked
1151;10/19/2023;10/19/2023 4:15 AM;4:21 AM;14.57;Unchecked;0;Unchecked;Unchecked;Unchecked
1374;10/19/2023;10/19/2023 4:17 AM;4:21 AM;9.01;Unchecked;0;Unchecked;Unchecked;Unchecked
1102;10/19/2023;10/19/2023 4:17 AM;4:22 AM;12.62;Unchecked;0;Unchecked;Unchecked;Unchecked
1223;10/19/2023;10/19/2023 4:18 AM;4:23 AM;8.87;Unchecked;0;Unchecked;Unchecked;Unchecked
1365;10/19/2023;10/19/2023 4:22 AM;4:27 AM;15.29;Unchecked;0;Unchecked;Unchecked;Unchecked
1259;10/19/2023;10/19/2023 4:21 AM;4:29 AM;19.83;Unchecked;0;Unchecked;Unchecked;Unchecked
1436;10/19/2023;10/19/2023 4:23 AM;4:30 AM;12.79;Unchecked;0;Unchecked;Unchecked;Unchecked
778;10/19/2023;10/19/2023 4:27 AM;4:33 AM;10.58;Unchecked;0;Unchecked;Unchecked;Unchecked
1354;10/19/2023;10/19/2023 4:31 AM;4:35 AM;8.20;Unchecked;0;Unchecked;Unchecked;Unchecked
1360;10/19/2023;10/19/2023 4:27 AM;4:36 AM;18.28;Unchecked;0;Unchecked;Unchecked;Unchecked
1192;10/19/2023;10/19/2023 4:30 AM;4:38 AM;22.03;Unchecked;0;Unchecked;Unchecked;Unchecked
1295;10/19/2023;10/19/2023 4:36 AM;4:41 AM;10.94;Unchecked;0;Unchecked;Unchecked;Unchecked
1407;10/19/2023;10/19/2023 4:35 AM;4:42 AM;10.80;Unchecked;0;Unchecked;Unchecked;Unchecked
1200;10/19/2023;10/19/2023 4:36 AM;4:43 AM;14.07;Unchecked;0;Unchecked;Unchecked;Unchecked
1003;10/19/2023;10/19/2023 4:39 AM;4:46 AM;18.43;Unchecked;0;Unchecked;Unchecked;Unchecked
1433;10/19/2023;10/19/2023 4:42 AM;4:49 AM;11.35;Unchecked;0;Unchecked;Unchecked;Unchecked
764;10/19/2023;10/19/2023 4:42 AM;4:50 AM;16.14;Unchecked;0;Unchecked;Unchecked;Unchecked
1172;10/19/2023;10/19/2023 4:45 AM;4:50 AM;18.33;Unchecked;0;Unchecked;Unchecked;Unchecked
1140;10/19/2023;10/19/2023 4:46 AM;4:53 AM;18.10;Unchecked;0;Unchecked;Unchecked;Unchecked
1414;10/19/2023;10/19/2023 4:49 AM;4:55 AM;10.52;Unchecked;0;Unchecked;Unchecked;Unchecked
922;10/19/2023;10/19/2023 4:51 AM;4:58 AM;22.69;Unchecked;0;Unchecked;Unchecked;Unchecked
1395;10/19/2023;10/19/2023 4:50 AM;4:58 AM;12.33;Unchecked;0;Unchecked;Unchecked;Unchecked
1142;10/19/2023;10/19/2023 4:54 AM;5:00 AM;14.96;Unchecked;0;Unchecked;Unchecked;Unchecked
1104;10/19/2023;10/19/2023 4:55 AM;5:01 AM;8.36;Unchecked;0;Unchecked;Unchecked;Unchecked
1410;10/19/2023;10/19/2023 4:59 AM;5:06 AM;14.33;Unchecked;0;Unchecked;Unchecked;Unchecked
1116;10/19/2023;10/19/2023 5:02 AM;5:09 AM;17.85;Unchecked;0;Unchecked;Unchecked;Unchecked
915;10/19/2023;10/19/2023 5:01 AM;5:10 AM;25.00;Unchecked;0;Unchecked;Unchecked;Unchecked
1323;10/19/2023;10/19/2023 5:07 AM;5:11 AM;7.25;Unchecked;0;Unchecked;Unchecked;Unchecked
1040;10/19/2023;10/19/2023 5:06 AM;5:13 AM;17.24;Unchecked;0;Unchecked;Unchecked;Unchecked
1454;10/19/2023;10/19/2023 5:09 AM;5:17 AM;10.60;Unchecked;0;Unchecked;Unchecked;Unchecked
1094;10/19/2023;10/19/2023 5:12 AM;5:17 AM;10.68;Unchecked;0;Unchecked;Unchecked;Unchecked
1441;10/19/2023;10/19/2023 5:12 AM;5:19 AM;10.40;Unchecked;0;Unchecked;Unchecked;Unchecked
1207;10/19/2023;10/19/2023 5:14 AM;5:21 AM;14.30;Unchecked;0;Unchecked;Unchecked;Unchecked
1171;10/19/2023;10/19/2023 5:19 AM;5:24 AM;18.81;Unchecked;0;Unchecked;Unchecked;Unchecked
1362;10/19/2023;10/19/2023 5:20 AM;5:25 AM;15.35;Unchecked;0;Unchecked;Unchecked;Unchecked
1477;10/19/2023;10/19/2023 5:17 AM;5:25 AM;9.24;Unchecked;0;Unchecked;Unchecked;Unchecked
1233;10/19/2023;10/19/2023 5:22 AM;5:29 AM;16.24;Unchecked;0;Unchecked;Unchecked;Unchecked
1198;10/19/2023;10/19/2023 5:25 AM;5:30 AM;11.14;Unchecked;0;Unchecked;Unchecked;Unchecked
1335;10/19/2023;10/19/2023 5:25 AM;5:30 AM;14.58;Unchecked;0;Unchecked;Unchecked;Unchecked
1417;10/19/2023;10/19/2023 5:26 AM;5:31 AM;12.23;Unchecked;0;Unchecked;Unchecked;Unchecked
1380;10/19/2023;10/19/2023 5:32 AM;5:36 AM;9.51;Unchecked;0;Unchecked;Unchecked;Unchecked
1447;10/19/2023;10/19/2023 5:31 AM;5:38 AM;10.91;Unchecked;0;Unchecked;Unchecked;Unchecked
921;10/19/2023;10/19/2023 5:29 AM;5:38 AM;20.31;Unchecked;0;Unchecked;Unchecked;Unchecked
842;10/19/2023;10/19/2023 5:33 AM;5:38 AM;15.88;Unchecked;0;Unchecked;Unchecked;Unchecked
1396;10/19/2023;10/19/2023 5:37 AM;5:42 AM;11.81;Unchecked;0;Unchecked;Unchecked;Unchecked
711;10/19/2023;10/19/2023 5:38 AM;5:45 AM;11.47;Unchecked;0;Unchecked;Unchecked;Unchecked
924;10/19/2023;10/19/2023 5:39 AM;5:45 AM;11.73;Unchecked;0;Unchecked;Unchecked;Unchecked
1315;10/19/2023;10/19/2023 5:43 AM;5:49 AM;12.49;Unchecked;0;Unchecked;Unchecked;Unchecked
1443;10/19/2023;10/19/2023 5:39 AM;5:50 AM;15.27;Unchecked;0;Unchecked;Unchecked;Unchecked
1100;10/19/2023;10/19/2023 5:46 AM;5:52 AM;16.06;Unchecked;0;Unchecked;Unchecked;Unchecked
935;10/19/2023;10/19/2023 5:46 AM;5:52 AM;14.12;Unchecked;0;Unchecked;Unchecked;Unchecked
1364;10/19/2023;10/19/2023 5:50 AM;5:54 AM;9.65;Unchecked;0;Unchecked;Unchecked;Unchecked
1291;10/19/2023;10/19/2023 5:51 AM;5:56 AM;13.61;Unchecked;0;Unchecked;Unchecked;Unchecked
925;10/19/2023;10/19/2023 5:54 AM;6:00 AM;16.68;Unchecked;0;Unchecked;Unchecked;Unchecked
686;10/19/2023;10/19/2023 5:56 AM;6:03 AM;15.58;Unchecked;0;Unchecked;Unchecked;Unchecked
1382;10/19/2023;10/19/2023 5:58 AM;6:03 AM;17.09;Unchecked;0;Unchecked;Unchecked;Unchecked
1244;10/19/2023;10/19/2023 6:01 AM;6:06 AM;14.35;Unchecked;0;Unchecked;Unchecked;Unchecked
1231;10/19/2023;10/19/2023 6:01 AM;6:06 AM;15.39;Unchecked;0;Unchecked;Unchecked;Unchecked
1453;10/19/2023;10/19/2023 6:04 AM;6:09 AM;9.15;Unchecked;0;Unchecked;Unchecked;Unchecked
1370;10/19/2023;10/19/2023 6:04 AM;6:10 AM;16.99;Unchecked;0;Unchecked;Unchecked;Unchecked
1286;10/19/2023;10/19/2023 6:07 AM;6:12 AM;9.37;Unchecked;0;Unchecked;Unchecked;Unchecked
1089;10/19/2023;10/19/2023 6:08 AM;6:14 AM;19.05;Unchecked;0;Unchecked;Unchecked;Unchecked
1215;10/19/2023;10/19/2023 6:09 AM;6:16 AM;16.23;Unchecked;0;Unchecked;Unchecked;Unchecked
1437;10/19/2023;10/19/2023 6:11 AM;6:18 AM;13.57;Unchecked;0;Unchecked;Unchecked;Unchecked
785;10/19/2023;10/19/2023 6:17 AM;6:24 AM;20.01;Unchecked;0;Unchecked;Unchecked;Unchecked
902;10/19/2023;10/19/2023 6:17 AM;6:25 AM;22.80;Unchecked;1;Unchecked;Unchecked;Checked
703;10/19/2023;10/19/2023 6:22 AM;6:28 AM;17.75;Unchecked;0;Unchecked;Unchecked;Unchecked
1457;10/19/2023;10/19/2023 6:25 AM;6:32 AM;15.51;Unchecked;0;Unchecked;Unchecked;Unchecked
1178;10/19/2023;10/19/2023 6:25 AM;6:32 AM;14.34;Unchecked;0;Unchecked;Unchecked;Unchecked
1127;10/19/2023;10/19/2023 6:26 AM;6:34 AM;20.76;Unchecked;0;Unchecked;Unchecked;Unchecked
1243;10/19/2023;10/19/2023 6:30 AM;6:37 AM;16.81;Unchecked;0;Unchecked;Unchecked;Unchecked
1274;10/19/2023;10/19/2023 6:32 AM;6:38 AM;15.71;Unchecked;0;Unchecked;Unchecked;Unchecked
628;10/19/2023;10/19/2023 6:35 AM;6:41 AM;11.45;Unchecked;0;Unchecked;Unchecked;Unchecked
1319;10/19/2023;10/19/2023 6:34 AM;6:43 AM;4.90;Unchecked;0;Unchecked;Unchecked;Unchecked
1098;10/19/2023;10/19/2023 6:38 AM;6:44 AM;16.46;Unchecked;0;Unchecked;Unchecked;Unchecked
1401;10/19/2023;10/19/2023 6:41 AM;6:47 AM;13.81;Unchecked;0;Unchecked;Unchecked;Unchecked
911;10/19/2023;10/19/2023 6:40 AM;6:48 AM;21.34;Unchecked;0;Unchecked;Unchecked;Unchecked
1329;10/19/2023;10/19/2023 6:48 AM;6:54 AM;13.71;Unchecked;0;Unchecked;Unchecked;Unchecked
1372;10/19/2023;10/19/2023 6:54 AM;7:00 AM;13.12;Unchecked;0;Unchecked;Unchecked;Unchecked
1405;10/19/2023;10/19/2023 6:55 AM;7:00 AM;7.38;Unchecked;0;Unchecked;Unchecked;Unchecked
1153;10/19/2023;10/19/2023 6:59 AM;7:06 AM;20.77;Unchecked;0;Unchecked;Unchecked;Unchecked
1455;10/19/2023;10/19/2023 7:01 AM;7:06 AM;11.47;Unchecked;0;Unchecked;Unchecked;Unchecked
1432;10/19/2023;10/19/2023 7:03 AM;7:08 AM;7.63;Unchecked;0;Unchecked;Unchecked;Unchecked
1472;10/19/2023;10/19/2023 7:08 AM;7:15 AM;11.25;Unchecked;0;Unchecked;Unchecked;Unchecked
1471;10/19/2023;10/19/2023 7:11 AM;7:17 AM;14.70;Unchecked;0;Unchecked;Unchecked;Unchecked
1423;10/19/2023;10/19/2023 7:16 AM;7:21 AM;10.23;Unchecked;0;Unchecked;Unchecked;Unchecked
1470;10/19/2023;10/19/2023 7:20 AM;7:26 AM;12.58;Unchecked;0;Unchecked;Unchecked;Unchecked
1331;10/19/2023;10/19/2023 7:24 AM;7:29 AM;18.38;Unchecked;0;Unchecked;Unchecked;Unchecked
1163;10/19/2023;10/19/2023 7:22 AM;7:30 AM;11.63;Unchecked;0;Unchecked;Unchecked;Unchecked
897;10/19/2023;10/19/2023 7:31 AM;7:39 AM;21.31;Unchecked;0;Unchecked;Unchecked;Unchecked
868;10/19/2023;10/19/2023 7:40 AM;7:48 AM;21.42;Unchecked;0;Unchecked;Unchecked;Unchecked
861;10/19/2023;10/19/2023 7:41 AM;7:48 AM;17.27;Unchecked;0;Unchecked;Unchecked;Unchecked
1458;10/19/2023;10/19/2023 7:45 AM;7:51 AM;12.33;Unchecked;0;Unchecked;Unchecked;Unchecked
1463;10/19/2023;10/19/2023 7:45 AM;7:56 AM;23.95;Unchecked;0;Unchecked;Unchecked;Unchecked
1245;10/19/2023;10/19/2023 7:49 AM;7:57 AM;28.74;Unchecked;0;Unchecked;Unchecked;Unchecked
1023;10/19/2023;10/19/2023 7:48 AM;7:59 AM;24.77;Unchecked;0;Unchecked;Unchecked;Unchecked
1476;10/19/2023;10/19/2023 7:52 AM;8:00 AM;7.35;Unchecked;0;Unchecked;Unchecked;Unchecked
1475;10/19/2023;10/19/2023 7:57 AM;8:02 AM;18.59;Unchecked;0;Unchecked;Unchecked;Unchecked
856;10/19/2023;10/19/2023 7:59 AM;8:06 AM;22.82;Unchecked;0;Unchecked;Unchecked;Unchecked
1284;10/19/2023;10/19/2023 8:01 AM;8:08 AM;15.05;Unchecked;0;Unchecked;Unchecked;Unchecked
1168;10/19/2023;10/19/2023 7:58 AM;8:08 AM;15.09;Unchecked;0;Unchecked;Unchecked;Unchecked
1343;10/19/2023;10/19/2023 8:03 AM;8:10 AM;18.50;Unchecked;0;Unchecked;Unchecked;Unchecked
1409;10/19/2023;10/19/2023 8:09 AM;8:13 AM;7.87;Unchecked;0;Unchecked;Unchecked;Unchecked
905;10/19/2023;10/19/2023 8:07 AM;8:13 AM;14.60;Unchecked;0;Unchecked;Unchecked;Unchecked
1367;10/19/2023;10/19/2023 8:10 AM;8:17 AM;20.82;Unchecked;0;Unchecked;Unchecked;Unchecked
1277;10/19/2023;10/19/2023 8:09 AM;8:18 AM;18.97;Unchecked;0;Unchecked;Unchecked;Unchecked
1412;10/19/2023;10/19/2023 8:14 AM;8:21 AM;11.12;Checked;1;Unchecked;Unchecked;Unchecked
1246;10/19/2023;10/19/2023 8:18 AM;8:24 AM;12.24;Unchecked;0;Unchecked;Unchecked;Unchecked
1359;10/19/2023;10/19/2023 8:17 AM;8:25 AM;19.24;Unchecked;0;Unchecked;Unchecked;Unchecked
896;10/19/2023;10/19/2023 8:24 AM;8:30 AM;8.14;Unchecked;0;Unchecked;Unchecked;Unchecked
872;10/19/2023;10/19/2023 8:22 AM;8:30 AM;11.76;Unchecked;0;Unchecked;Unchecked;Unchecked
1427;10/19/2023;10/19/2023 8:23 AM;8:31 AM;14.68;Unchecked;0;Unchecked;Unchecked;Unchecked
1388;10/19/2023;10/19/2023 8:26 AM;8:34 AM;16.97;Unchecked;0;Unchecked;Unchecked;Unchecked
1363;10/19/2023;10/19/2023 8:31 AM;8:35 AM;7.31;Unchecked;0;Unchecked;Unchecked;Unchecked
1212;10/19/2023;10/19/2023 8:30 AM;8:37 AM;21.06;Unchecked;0;Unchecked;Unchecked;Unchecked
1391;10/19/2023;10/19/2023 8:34 AM;8:39 AM;10.38;Unchecked;0;Unchecked;Unchecked;Unchecked
1456;10/19/2023;10/19/2023 8:36 AM;8:41 AM;5.80;Unchecked;0;Unchecked;Unchecked;Unchecked
807;10/19/2023;10/19/2023 8:30 AM;8:41 AM;24.04;Unchecked;0;Unchecked;Unchecked;Unchecked
1404;10/19/2023;10/19/2023 8:40 AM;8:44 AM;8.70;Unchecked;0;Unchecked;Unchecked;Unchecked
962;10/19/2023;10/19/2023 8:37 AM;8:45 AM;21.86;Unchecked;0;Unchecked;Unchecked;Unchecked
1451;10/19/2023;10/19/2023 8:44 AM;8:49 AM;8.94;Unchecked;0;Unchecked;Unchecked;Unchecked
1305;10/19/2023;10/19/2023 8:41 AM;8:52 AM;22.13;Unchecked;0;Unchecked;Unchecked;Unchecked
1145;10/19/2023;10/19/2023 8:41 AM;8:52 AM;19.88;Unchecked;0;Unchecked;Unchecked;Unchecked
1478;10/19/2023;10/19/2023 8:51 AM;8:55 AM;7.83;Unchecked;0;Unchecked;Unchecked;Unchecked
1091;10/19/2023;10/19/2023 8:46 AM;8:56 AM;26.46;Unchecked;0;Unchecked;Unchecked;Unchecked
985;10/19/2023;10/19/2023 8:53 AM;9:00 AM;21.43;Unchecked;0;Unchecked;Unchecked;Unchecked
