,date,days_in_milk,dim
231,2023-05-13,53,53
232,2023-05-13,53,53
233,2023-05-14,54,54
234,2023-05-14,54,54
235,2023-05-15,55,55
236,2023-05-15,55,55
237,2023-05-16,56,56
238,2023-05-16,56,56
239,2023-05-16,56,56
240,2023-05-17,57,57
241,2023-05-17,57,57
242,2023-05-18,58,58
243,2023-05-18,58,58
244,2023-05-18,58,58
245,2023-05-19,59,59
246,2023-05-19,59,59
247,2023-05-20,60,60
248,2023-05-20,60,60
249,2023-05-20,60,60
250,2023-05-21,61,61
251,2023-05-21,61,61
252,2023-05-21,61,61
253,2023-05-22,62,62
254,2023-05-22,62,62
255,2023-05-22,62,62
256,2023-05-23,63,63
257,2023-05-23,63,63
258,2023-05-24,64,64
259,2023-05-24,64,64
260,2023-05-24,64,64
261,2023-05-25,65,65
262,2023-05-25,65,65
263,2023-05-26,66,66
264,2023-05-26,66,66
265,2023-05-26,66,66
266,2023-05-27,67,67
267,2023-05-27,67,67
268,2023-05-27,67,67
269,2023-05-28,68,68
270,2023-05-28,68,68
271,2023-05-29,69,69
272,2023-05-29,69,69
273,2023-05-30,70,70
274,2023-05-30,70,70
275,2023-05-30,70,70
276,2023-05-31,71,71
277,2023-05-31,71,71
278,2023-06-01,72,72
279,2023-06-01,72,72
280,2023-06-01,72,72
281,2023-06-02,73,73
282,2023-06-02,73,73
283,2023-06-03,74,74
284,2023-06-03,74,74
285,2023-06-04,75,75
286,2023-06-04,75,75
287,2023-06-05,76,76
288,2023-06-05,76,76
289,2023-06-06,77,77
290,2023-06-06,77,77
291,2023-06-07,78,78
292,2023-06-07,78,78
293,2023-06-08,79,79
294,2023-06-08,79,79
295,2023-06-08,79,79
296,2023-06-09,80,80
297,2023-06-09,80,80
298,2023-06-10,81,81
299,2023-06-10,81,81
300,2023-06-10,81,81
301,2023-06-11,82,82
302,2023-06-11,82,82
303,2023-06-12,83,83
304,2023-06-12,83,83
305,2023-06-12,83,83
306,2023-06-13,84,84
307,2023-06-13,84,84
308,2023-06-14,85,85
309,2023-06-14,85,85
310,2023-06-15,86,86
311,2023-06-15,86,86
312,2023-06-16,87,87
313,2023-06-16,87,87
314,2023-06-16,87,87
315,2023-06-17,88,88
316,2023-06-17,88,88
317,2023-06-18,89,89
318,2023-06-18,89,89
319,2023-06-19,90,90
320,2023-06-19,90,90
321,2023-06-20,91,91
322,2023-06-20,91,91
323,2023-06-20,91,91
324,2023-06-21,92,92
325,2023-06-21,92,92
326,2023-06-21,92,92
327,2023-06-22,93,93
328,2023-06-22,93,93
329,2023-06-22,94,93
330,2023-06-23,94,94
331,2023-06-23,94,94
332,2023-06-23,94,94
333,2023-06-24,95,95
334,2023-06-24,95,95
335,2023-06-25,96,96
336,2023-06-25,96,96
337,2023-06-26,97,97
338,2023-06-26,97,97
339,2023-06-27,98,98
340,2023-06-27,98,98
341,2023-06-28,99,99
342,2023-06-28,99,99
343,2023-06-29,100,100
344,2023-06-29,100,100
345,2023-06-30,101,101
346,2023-06-30,101,101
347,2023-07-01,102,102
348,2023-07-01,102,102
349,2023-07-02,103,103
350,2023-07-02,103,103
351,2023-07-03,104,104
352,2023-07-03,104,104
353,2023-07-04,105,105
354,2023-07-04,105,105
355,2023-07-04,105,105
356,2023-07-05,106,106
357,2023-07-05,106,106
358,2023-07-05,106,106
359,2023-07-06,107,107
360,2023-07-06,107,107
361,2023-07-06,107,107
362,2023-07-06,107,107
363,2023-07-07,108,108
364,2023-07-07,108,108
365,2023-07-07,108,108
366,2023-07-08,109,109
367,2023-07-08,109,109
368,2023-07-08,109,109
369,2023-07-09,110,110
370,2023-07-09,110,110
371,2023-07-09,110,110
372,2023-07-09,110,110
373,2023-07-10,111,111
374,2023-07-10,111,111
375,2023-07-10,111,111
376,2023-07-11,112,112
377,2023-07-11,112,112
378,2023-07-11,112,112
379,2023-07-12,113,113
380,2023-07-12,113,113
381,2023-07-12,113,113
382,2023-07-13,114,114
383,2023-07-13,114,114
384,2023-07-13,114,114
385,2023-07-13,114,114
386,2023-07-14,115,115
387,2023-07-14,115,115
388,2023-07-14,115,115
389,2023-07-14,115,115
390,2023-07-15,116,116
391,2023-07-15,116,116
392,2023-07-15,116,116
393,2023-07-15,116,116
394,2023-07-16,117,117
395,2023-07-16,117,117
396,2023-07-16,117,117
397,2023-07-17,118,118
398,2023-07-17,118,118
399,2023-07-17,118,118
400,2023-07-17,118,118
401,2023-07-18,119,119
402,2023-07-18,119,119
403,2023-07-18,119,119
404,2023-07-19,120,120
405,2023-07-19,120,120
406,2023-07-19,120,120
407,2023-07-20,121,121
408,2023-07-20,121,121
409,2023-07-20,121,121
410,2023-07-21,122,122
411,2023-07-21,122,122
412,2023-07-22,123,123
413,2023-07-22,123,123
414,2023-07-22,123,123
415,2023-07-22,123,123
416,2023-07-23,124,124
417,2023-07-23,124,124
418,2023-07-23,124,124
419,2023-07-24,125,125
420,2023-07-24,125,125
421,2023-07-25,126,126
422,2023-07-25,126,126
423,2023-07-25,126,126
424,2023-07-26,127,127
425,2023-07-26,127,127
426,2023-07-27,128,128
427,2023-07-27,128,128
428,2023-07-28,129,129
429,2023-07-28,129,129
430,2023-07-28,129,129
431,2023-07-29,130,130
432,2023-07-29,130,130
433,2023-07-29,130,130
434,2023-07-30,131,131
435,2023-07-30,131,131
436,2023-07-30,131,131
437,2023-07-31,132,132
438,2023-07-31,132,132
439,2023-08-01,133,133
440,2023-08-01,133,133
441,2023-08-01,133,133
442,2023-08-02,134,134
443,2023-08-02,134,134
444,2023-08-02,134,134
445,2023-08-03,135,135
446,2023-08-03,135,135
447,2023-08-03,135,135
448,2023-08-04,136,136
449,2023-08-04,136,136
450,2023-08-04,136,136
451,2023-08-05,137,137
452,2023-08-05,137,137
453,2023-08-05,137,137
454,2023-08-06,138,138
455,2023-08-06,138,138
456,2023-08-06,138,138
457,2023-08-07,139,139
458,2023-08-07,139,139
459,2023-08-07,140,139
460,2023-08-08,140,140
461,2023-08-08,140,140
462,2023-08-09,141,141
463,2023-08-09,141,141
464,2023-08-09,141,141
465,2023-08-09,141,141
466,2023-08-10,142,142
467,2023-08-10,142,142
468,2023-08-10,142,142
469,2023-08-11,143,143
470,2023-08-11,143,143
471,2023-08-11,143,143
472,2023-08-12,144,144
473,2023-08-12,144,144
474,2023-08-12,144,144
475,2023-08-13,145,145
476,2023-08-13,145,145
477,2023-08-13,145,145
478,2023-08-14,146,146
479,2023-08-14,146,146
480,2023-08-14,146,146
481,2023-08-14,146,146
482,2023-08-15,147,147
483,2023-08-15,147,147
484,2023-08-15,147,147
485,2023-08-16,148,148
486,2023-08-16,148,148
487,2023-08-16,148,148
488,2023-08-17,149,149
489,2023-08-17,149,149
490,2023-08-17,149,149
491,2023-08-18,150,150
492,2023-08-18,150,150
493,2023-08-18,150,150
494,2023-08-19,151,151
495,2023-08-19,151,151
496,2023-08-19,151,151
497,2023-08-20,152,152
498,2023-08-20,152,152
499,2023-08-20,152,152
500,2023-08-21,153,153
501,2023-08-21,153,153
502,2023-08-21,153,153
503,2023-08-22,154,154
504,2023-08-22,154,154
505,2023-08-22,154,154
506,2023-08-23,155,155
507,2023-08-23,155,155
508,2023-08-24,156,156
509,2023-08-24,156,156
510,2023-08-25,157,157
511,2023-08-25,157,157
512,2023-08-26,158,158
513,2023-08-26,158,158
514,2023-08-26,158,158
515,2023-08-27,159,159
516,2023-08-27,159,159
517,2023-08-27,159,159
518,2023-08-28,160,160
519,2023-08-28,160,160
520,2023-08-29,161,161
521,2023-08-29,161,161
522,2023-08-29,161,161
523,2023-08-30,162,162
524,2023-08-30,162,162
525,2023-08-30,162,162
526,2023-08-31,163,163
527,2023-08-31,163,163
528,2023-08-31,163,163
529,2023-09-01,164,164
530,2023-09-01,164,164
531,2023-09-01,164,164
532,2023-09-02,165,165
533,2023-09-02,165,165
534,2023-09-02,165,165
535,2023-09-03,166,166
536,2023-09-03,166,166
537,2023-09-03,166,166
538,2023-09-04,167,167
539,2023-09-04,167,167
540,2023-09-04,167,167
541,2023-09-05,168,168
542,2023-09-05,168,168
543,2023-09-05,168,168
544,2023-09-06,169,169
545,2023-09-06,169,169
546,2023-09-06,169,169
547,2023-09-07,170,170
548,2023-09-07,170,170
549,2023-09-07,170,170
550,2023-09-08,171,171
551,2023-09-08,171,171
552,2023-09-08,171,171
553,2023-09-08,171,171
554,2023-09-09,172,172
555,2023-09-09,172,172
556,2023-09-10,173,173
557,2023-09-10,173,173
558,2023-09-10,173,173
559,2023-09-11,174,174
560,2023-09-11,174,174
561,2023-09-11,174,174
562,2023-09-12,175,175
563,2023-09-12,175,175
564,2023-09-13,176,176
565,2023-09-13,176,176
566,2023-09-13,176,176
567,2023-09-14,177,177
568,2023-09-14,177,177
569,2023-09-14,177,177
570,2023-09-15,178,178
571,2023-09-15,178,178
572,2023-09-15,178,178
573,2023-09-16,179,179
574,2023-09-16,179,179
575,2023-09-16,179,179
576,2023-09-17,180,180
577,2023-09-17,180,180
578,2023-09-17,180,180
579,2023-09-18,181,181
580,2023-09-18,181,181
581,2023-09-18,181,181
582,2023-09-19,182,182
583,2023-09-19,182,182
584,2023-09-20,183,183
585,2023-09-20,183,183
586,2023-09-20,183,183
587,2023-09-21,184,184
588,2023-09-21,184,184
589,2023-09-21,184,184
590,2023-09-22,185,185
591,2023-09-22,185,185
592,2023-09-22,185,185
593,2023-09-23,186,186
594,2023-09-23,186,186
595,2023-09-23,186,186
596,2023-09-24,187,187
597,2023-09-24,187,187
598,2023-09-24,187,187
599,2023-09-25,188,188
600,2023-09-25,188,188
601,2023-09-25,188,188
602,2023-09-26,189,189
603,2023-09-26,189,189
604,2023-09-26,189,189
605,2023-09-27,190,190
606,2023-09-27,190,190
607,2023-09-27,190,190
608,2023-09-27,190,190
609,2023-09-28,191,191
610,2023-09-28,191,191
611,2023-09-28,191,191
612,2023-09-29,192,192
613,2023-09-29,192,192
614,2023-09-29,193,192
615,2023-09-30,193,193
616,2023-09-30,193,193
617,2023-09-30,193,193
618,2023-10-01,194,194
619,2023-10-01,194,194
620,2023-10-01,194,194
621,2023-10-02,195,195
622,2023-10-02,195,195
623,2023-10-03,196,196
624,2023-10-03,196,196
625,2023-10-03,196,196
626,2023-10-04,197,197
627,2023-10-04,197,197
628,2023-10-05,198,198
629,2023-10-05,198,198
630,2023-10-05,198,198
631,2023-10-06,199,199
632,2023-10-06,199,199
633,2023-10-06,199,199
634,2023-10-07,200,200
635,2023-10-07,200,200
636,2023-10-07,200,200
637,2023-10-08,201,201
638,2023-10-08,201,201
639,2023-10-09,202,202
640,2023-10-09,202,202
641,2023-10-09,202,202
642,2023-10-10,203,203
643,2023-10-10,203,203
644,2023-10-11,204,204
645,2023-10-11,204,204
646,2023-10-11,204,204
647,2023-10-11,204,204
648,2023-10-12,205,205
649,2023-10-12,205,205
650,2023-10-12,205,205
651,2023-10-13,206,206
652,2023-10-13,206,206
653,2023-10-14,207,207
654,2023-10-14,207,207
655,2023-10-14,207,207
656,2023-10-15,208,208
657,2023-10-15,208,208
658,2023-10-16,209,209
659,2023-10-16,209,209
660,2023-10-16,209,209
661,2023-10-17,210,210
662,2023-10-17,210,210
663,2023-10-18,211,211
664,2023-10-18,211,211
665,2023-10-18,211,211
666,2023-10-19,212,212
667,2023-10-19,212,212
668,2023-10-19,212,212
669,2023-10-20,213,213
670,2023-10-20,213,213
671,2023-10-20,213,213
672,2023-10-21,214,214
673,2023-10-21,214,214
674,2023-10-21,214,214
675,2023-10-22,215,215
676,2023-10-22,215,215
677,2023-10-22,215,215
678,2023-10-23,216,216
679,2023-10-23,216,216
680,2023-10-23,216,216
681,2023-10-23,216,216
682,2023-10-24,217,217
683,2023-10-24,217,217
684,2023-10-25,218,218
685,2023-10-25,218,218
686,2023-10-25,218,218
687,2023-10-26,219,219
688,2023-10-26,219,219
689,2023-10-27,220,220
690,2023-10-27,220,220
691,2023-10-27,220,220
692,2023-10-28,221,221
693,2023-10-28,221,221
694,2023-10-28,221,221
695,2023-10-29,222,222
696,2023-10-29,222,222
697,2023-10-30,223,223
698,2023-10-30,223,223
699,2023-10-30,223,223
700,2023-10-31,224,224
701,2023-10-31,224,224
702,2023-10-31,224,224
703,2023-11-01,225,225
704,2023-11-01,225,225
705,2023-11-02,226,226
706,2023-11-02,226,226
707,2023-11-02,226,226
708,2023-11-03,227,227
709,2023-11-03,227,227
710,2023-11-03,227,227
711,2023-11-04,228,228
712,2023-11-04,228,228
713,2023-11-05,229,229
714,2023-11-05,229,229
715,2023-11-05,229,229
716,2023-11-06,230,230
717,2023-11-06,230,230
718,2023-11-06,230,230
719,2023-11-07,231,231
720,2023-11-07,231,231
721,2023-11-07,231,231
722,2023-11-08,232,232
723,2023-11-08,232,232
724,2023-11-09,233,233
725,2023-11-09,233,233
726,2023-11-09,233,233
727,2023-11-10,234,234
728,2023-11-10,234,234
729,2023-11-10,234,234
730,2023-11-11,235,235
731,2023-11-11,235,235
732,2023-11-11,235,235
733,2023-11-12,236,236
734,2023-11-12,236,236
735,2023-11-12,236,236
736,2023-11-12,236,236
737,2023-11-13,237,237
738,2023-11-13,237,237
739,2023-11-14,238,238
740,2023-11-14,238,238
741,2023-11-15,239,239
742,2023-11-15,239,239
743,2023-11-16,240,240
744,2023-11-16,241,240
745,2023-11-17,241,241
746,2023-11-17,241,241
