Animal Number;Avg. Daily Kick-Off Milkings Last 7d;LF Avg. Daily Kick-Off Milkings Last 7d;LR Avg. Daily Kick-Off Milkings Last 7d;RF Avg. Daily Kick-Off Milkings Last 7d;RR Avg. Daily Kick-Off Milkings Last 7d;Total Kick-Offs Last 7d;Total Kick-Off Per Milking Last 7d
1541;0.00;0.00;0.00;0.00;0.00;;0.00
1542;0.00;0.00;0.00;0.00;0.00;;0.00
1543;0.00;0.00;0.00;0.00;0.00;;0.00
1544;0.00;0.00;0.00;0.00;0.00;;0.00
1545;0.00;0.00;0.00;0.00;0.00;;0.00
1546;0.00;0.00;0.00;0.00;0.00;;0.00
1547;0.00;0.00;0.00;0.00;0.00;;0.00
1548;0.00;0.00;0.00;0.00;0.00;;0.00
1549;0.00;0.00;0.00;0.00;0.00;;0.00
1550;0.00;0.00;0.00;0.00;0.00;;0.00
1552;0.00;0.00;0.00;0.00;0.00;;0.00
1553;0.00;0.00;0.00;0.00;0.00;;0.00
1554;0.00;0.00;0.00;0.00;0.00;;0.00
1555;0.00;0.00;0.00;0.00;0.00;;0.00
1556;0.00;0.00;0.00;0.00;0.00;;0.00
1557;0.00;0.00;0.00;0.00;0.00;;0.00
1558;0.00;0.00;0.00;0.00;0.00;;0.00
1559;0.00;0.00;0.00;0.00;0.00;;0.00
1560;0.00;0.00;0.00;0.00;0.00;;0.00
1561;0.00;0.00;0.00;0.00;0.00;;0.00
1562;0.00;0.00;0.00;0.00;0.00;;0.00
1563;0.00;0.00;0.00;0.00;0.00;;0.00
1564;0.00;0.00;0.00;0.00;0.00;;0.00
1565;0.00;0.00;0.00;0.00;0.00;;0.00
1566;0.00;0.00;0.00;0.00;0.00;;0.00
1567;0.00;0.00;0.00;0.00;0.00;;0.00
1568;0.00;0.00;0.00;0.00;0.00;;0.00
1569;0.00;0.00;0.00;0.00;0.00;;0.00
1570;0.00;0.00;0.00;0.00;0.00;;0.00
1571;0.00;0.00;0.00;0.00;0.00;;0.00
1572;0.00;0.00;0.00;0.00;0.00;;0.00
1573;0.00;0.00;0.00;0.00;0.00;;0.00
1574;0.00;0.00;0.00;0.00;0.00;;0.00
1575;0.00;0.00;0.00;0.00;0.00;;0.00
1576;0.00;0.00;0.00;0.00;0.00;;0.00
1577;0.00;0.00;0.00;0.00;0.00;;0.00
1578;0.00;0.00;0.00;0.00;0.00;;0.00
1579;0.00;0.00;0.00;0.00;0.00;;0.00
1580;0.00;0.00;0.00;0.00;0.00;;0.00
1581;0.00;0.00;0.00;0.00;0.00;;0.00
1582;0.00;0.00;0.00;0.00;0.00;;0.00
1583;0.00;0.00;0.00;0.00;0.00;;0.00
1584;0.00;0.00;0.00;0.00;0.00;;0.00
1585;0.00;0.00;0.00;0.00;0.00;;0.00
1586;0.00;0.00;0.00;0.00;0.00;;0.00
1587;0.00;0.00;0.00;0.00;0.00;;0.00
1588;0.00;0.00;0.00;0.00;0.00;;0.00
1589;0.00;0.00;0.00;0.00;0.00;;0.00
1590;0.00;0.00;0.00;0.00;0.00;;0.00
1591;0.00;0.00;0.00;0.00;0.00;;0.00
1592;0.00;0.00;0.00;0.00;0.00;;0.00
1593;0.00;0.00;0.00;0.00;0.00;;0.00
1594;0.00;0.00;0.00;0.00;0.00;;0.00
1595;0.00;0.00;0.00;0.00;0.00;;0.00
1596;0.00;0.00;0.00;0.00;0.00;;0.00
1597;0.00;0.00;0.00;0.00;0.00;;0.00
1598;0.00;0.00;0.00;0.00;0.00;;0.00
1599;0.00;0.00;0.00;0.00;0.00;;0.00
1600;0.00;0.00;0.00;0.00;0.00;;0.00
1601;0.00;0.00;0.00;0.00;0.00;;0.00
1602;0.00;0.00;0.00;0.00;0.00;;0.00
1603;0.00;0.00;0.00;0.00;0.00;;0.00
1604;0.00;0.00;0.00;0.00;0.00;;0.00
1605;0.00;0.00;0.00;0.00;0.00;;0.00
1606;0.00;0.00;0.00;0.00;0.00;;0.00
1607;0.00;0.00;0.00;0.00;0.00;;0.00
1608;0.00;0.00;0.00;0.00;0.00;;0.00
1609;0.00;0.00;0.00;0.00;0.00;;0.00
1611;0.00;0.00;0.00;0.00;0.00;;0.00
1612;0.00;0.00;0.00;0.00;0.00;;0.00
1613;0.00;0.00;0.00;0.00;0.00;;0.00
1614;0.00;0.00;0.00;0.00;0.00;;0.00
1615;0.00;0.00;0.00;0.00;0.00;;0.00
1616;0.00;0.00;0.00;0.00;0.00;;0.00
1617;0.00;0.00;0.00;0.00;0.00;;0.00
1618;0.00;0.00;0.00;0.00;0.00;;0.00
1619;0.00;0.00;0.00;0.00;0.00;;0.00
1620;0.00;0.00;0.00;0.00;0.00;;0.00
1621;0.00;0.00;0.00;0.00;0.00;;0.00
1622;0.00;0.00;0.00;0.00;0.00;;0.00
1623;0.00;0.00;0.00;0.00;0.00;;0.00
1624;0.00;0.00;0.00;0.00;0.00;;0.00
1625;0.00;0.00;0.00;0.00;0.00;;0.00
1626;0.00;0.00;0.00;0.00;0.00;;0.00
1627;0.00;0.00;0.00;0.00;0.00;;0.00
1628;0.00;0.00;0.00;0.00;0.00;;0.00
1629;0.00;0.00;0.00;0.00;0.00;;0.00
1630;0.00;0.00;0.00;0.00;0.00;;0.00
1631;0.00;0.00;0.00;0.00;0.00;;0.00
1632;0.00;0.00;0.00;0.00;0.00;;0.00
1633;0.00;0.00;0.00;0.00;0.00;;0.00
1634;0.00;0.00;0.00;0.00;0.00;;0.00
1635;0.00;0.00;0.00;0.00;0.00;;0.00
1636;0.00;0.00;0.00;0.00;0.00;;0.00
1637;0.00;0.00;0.00;0.00;0.00;;0.00
1638;0.00;0.00;0.00;0.00;0.00;;0.00
1639;0.00;0.00;0.00;0.00;0.00;;0.00
1640;0.00;0.00;0.00;0.00;0.00;;0.00
1641;0.00;0.00;0.00;0.00;0.00;;0.00
1642;0.00;0.00;0.00;0.00;0.00;;0.00
1643;0.00;0.00;0.00;0.00;0.00;;0.00
1644;0.00;0.00;0.00;0.00;0.00;;0.00
1645;0.00;0.00;0.00;0.00;0.00;;0.00
1646;0.00;0.00;0.00;0.00;0.00;;0.00
1647;0.00;0.00;0.00;0.00;0.00;;0.00
1648;0.00;0.00;0.00;0.00;0.00;;0.00
1649;0.00;0.00;0.00;0.00;0.00;;0.00
1650;0.00;0.00;0.00;0.00;0.00;;0.00
1651;0.00;0.00;0.00;0.00;0.00;;0.00
1652;0.00;0.00;0.00;0.00;0.00;;0.00
1653;0.00;0.00;0.00;0.00;0.00;;0.00
1654;0.00;0.00;0.00;0.00;0.00;;0.00
1655;0.00;0.00;0.00;0.00;0.00;;0.00
1656;0.00;0.00;0.00;0.00;0.00;;0.00
1657;0.00;0.00;0.00;0.00;0.00;;0.00
1658;0.00;0.00;0.00;0.00;0.00;;0.00
1659;0.00;0.00;0.00;0.00;0.00;;0.00
1660;0.00;0.00;0.00;0.00;0.00;;0.00
1661;0.00;0.00;0.00;0.00;0.00;;0.00
1662;0.00;0.00;0.00;0.00;0.00;;0.00
1663;0.00;0.00;0.00;0.00;0.00;;0.00
1664;0.00;0.00;0.00;0.00;0.00;;0.00
1665;0.00;0.00;0.00;0.00;0.00;;0.00
1666;0.00;0.00;0.00;0.00;0.00;;0.00
1667;0.00;0.00;0.00;0.00;0.00;;0.00
1668;0.00;0.00;0.00;0.00;0.00;;0.00
1669;0.00;0.00;0.00;0.00;0.00;;0.00
1670;0.00;0.00;0.00;0.00;0.00;;0.00
1671;0.00;0.00;0.00;0.00;0.00;;0.00
1672;0.00;0.00;0.00;0.00;0.00;;0.00
1673;0.00;0.00;0.00;0.00;0.00;;0.00
1674;0.00;0.00;0.00;0.00;0.00;;0.00
1675;0.00;0.00;0.00;0.00;0.00;;0.00
