Animal Number;Birth Date;Age In Days;Last Calving Date;Days In Milk;Lactation Number;Total Kick-Offs Last 7d;Peak OCC Current Lactation;Latest Lifetime Daily Yield;Total Lifetime Yield;Type;Avg. OCC Last 9 Milkings;Avg. Flow Last 7 Days;Avg. Yield Per Milking Last 7d;Total Yield In Lactation;Peak Yield;Peak Yield Day;Peak OCC Current Lactation
723;10/30/2016;2575;10/13/2023;36;5;;771;55.5;143015;Tank;183;15.46;44.25;2819.82;;;771
722;10/26/2016;2579;7/23/2023;118;5;;225;55.4;142788;Tank;31;6.88;61.10;16945.66;179.40;74;225
711;10/2/2016;2603;12/9/2022;337;5;;328;61.7;160612;Tank;66;10.71;44.97;32926.66;131.41;73;328
703;9/15/2016;2620;3/18/2023;245;5;;2520;51.4;134751;Tank;111;13.36;36.53;26336.65;131.00;96;2520
686;7/28/2016;2669;9/28/2023;51;5;;28;56.8;151588;Tank;;11.27;47.99;6607.21;;;28
1057;10/6/2018;1869;10/28/2023;21;4;1;108;43.6;81498;Tank;16;8.37;52.73;1888.92;;;108
1023;7/13/2018;1954;7/23/2023;118;4;;277;54.1;105652;Tank;16;10.15;45.53;14879.79;153.68;64;277
986;6/4/2018;1993;7/30/2023;111;4;4;654;46.4;92502;Tank;24;6.61;52.43;13556.82;141.49;79;654
981;5/25/2018;2003;10/24/2023;25;4;2;94;40.0;80048;Tank;25;12.22;31.16;2302.49;;;94
975;5/14/2018;2014;6/23/2023;148;4;;1482;50.9;102507;Tank;151;8.95;41.26;19457.25;152.44;42;1482
971;5/10/2018;2018;9/8/2023;71;4;;591;44.9;90582;Tank;;12.33;34.58;7061.23;;;591
970;5/6/2018;2022;6/5/2023;166;4;;2171;50.3;101614;Tank;;11.84;38.22;18725.98;129.75;43;2171
962;4/26/2018;2032;7/22/2023;119;4;3;3497;42.9;87250;Tank;351;9.13;40.98;14303.18;142.51;52;3497
921;2/11/2018;2106;3/13/2023;250;4;;3680;48.3;101620;Tank;185;10.25;26.97;27162.63;130.16;48;3680
935;3/17/2018;2072;8/18/2023;92;4;;180;46.8;97063;Tank;15;9.27;35.37;8571.24;;;180
929;3/5/2018;2084;11/3/2023;15;4;2;1560;48.7;101412;Tank;796;9.42;39.41;1469.91;;;1560
925;2/18/2018;2099;5/9/2023;193;4;1;425;40.8;85712;Tank;24;13.86;47.56;18530.39;113.15;132;425
924;2/18/2018;2099;8/21/2023;89;4;;2511;53.2;111600;Tank;185;9.77;37.25;11144.94;;;2511
922;2/13/2018;2104;5/20/2023;182;4;1;1131;50.8;106889;Tank;20;13.76;43.70;19811.65;127.50;40;1131
915;2/5/2018;2112;3/16/2023;247;4;;4551;50.5;106682;Tank;616;11.72;38.60;28706.06;140.71;55;4551
912;2/1/2018;2116;2/12/2023;279;4;;2845;54.7;115662;Tank;220;13.32;43.93;30002.65;133.79;39;2845
911;1/31/2018;2117;1/22/2023;293;4;;2937;57.3;121386;Tank;66;11.90;35.67;33359.80;142.62;47;2937
905;1/15/2018;2133;2/2/2023;289;4;;728;50.7;108090;Tank;144;9.22;28.33;29888.71;128.52;58;728
904;1/3/2018;2145;7/15/2023;126;4;;568;46.0;98677;Tank;18;7.68;38.25;16805.49;154.13;70;568
902;12/31/2017;2148;9/13/2023;66;4;8;3651;42.5;91337;Tank;;7.92;39.51;6184.74;;;3651
897;12/18/2017;2161;4/30/2023;202;4;;4460;49.8;107575;Tank;30;12.36;39.76;23053.23;133.11;50;4460
896;12/17/2017;2162;2/6/2023;285;4;1;517;47.5;102783;Tank;94;7.91;26.27;27962.62;122.34;71;517
872;11/17/2017;2192;2/4/2023;280;4;;711;52.8;115741;Tank;306;13.76;49.12;31366.34;142.86;53;711
868;11/3/2017;2206;9/18/2023;61;4;;317;49.6;109444;Tank;40;13.06;43.06;7497.11;;;317
861;10/18/2017;2222;6/8/2023;163;4;1;977;43.6;96845;Tank;58;10.05;28.89;18027.07;131.23;47;977
856;10/10/2017;2230;7/20/2023;121;4;;5345;43.6;97313;Tank;634;11.75;41.14;14404.39;135.11;58;5345
842;8/31/2017;2270;4/12/2023;220;4;;1814;49.1;111453;Tank;181;13.44;41.33;23619.96;132.69;73;1814
837;8/22/2017;2279;3/8/2023;255;4;;320;50.7;115432;Tank;18;9.61;37.27;26867.56;125.56;63;320
833;8/15/2017;2286;6/8/2023;163;4;;1425;49.2;112463;Tank;290;6.34;32.27;16737.74;122.51;72;1425
828;8/2/2017;2299;12/13/2022;308;4;;382;53.3;122501;Tank;95;;;33729.98;141.09;30;382
810;7/13/2017;2319;1/17/2023;273;4;;1662;42.9;99538;Tank;191;;;24094.28;106.44;73;1662
791;6/1/2017;2361;10/10/2022;331;4;;122;44.3;104599;Tank;79;;;30370.42;130.90;37;122
783;5/22/2017;2371;6/10/2022;453;4;;145;51.9;122976;Tank;60;;;45787.18;150.77;34;145
1197;12/20/2019;1429;10/29/2023;20;3;;111;35.2;50336;Tank;;9.84;46.03;2019.46;;;111
1184;10/30/2019;1480;11/13/2023;5;3;;;31.0;45861;Tank;;14.89;30.76;276.86;;;
1178;9/18/2019;1522;9/15/2023;64;3;1;5200;36.6;55638;Tank;321;10.27;38.83;6350.81;;;5200
1177;9/18/2019;1522;10/28/2023;21;3;1;74;35.6;54161;Tank;20;8.63;47.14;1872.56;;;74
1173;8/31/2019;1540;11/11/2023;7;3;;;43.0;66208;Tank;;7.34;28.78;546.83;;;
1172;8/30/2019;1541;8/24/2023;86;3;;340;30.6;47226;Tank;35;12.88;41.84;8424.04;;;340
1170;8/27/2019;1544;11/3/2023;15;3;;457;32.4;50035;Tank;268;13.19;32.10;767.83;;;457
1168;8/17/2019;1554;9/17/2023;62;3;;1345;42.7;66303;Tank;271;6.48;44.72;7977.36;;;1345
1164;8/4/2019;1567;10/25/2023;24;3;;74;36.1;56512;Tank;32;14.71;45.87;2573.63;;;74
1163;8/4/2019;1567;8/9/2023;101;3;5;194;41.4;64874;Tank;21;5.66;39.05;10857.44;124.02;77;194
1160;7/16/2019;1586;10/30/2023;19;3;2;440;27.7;43964;Tank;;11.24;27.69;1508.03;;;440
1159;7/14/2019;1588;11/8/2023;10;3;;7882;44.7;70993;Divert 2;3268;8.92;27.70;542.20;;;7882
1153;7/1/2019;1601;9/3/2023;76;3;;480;44.6;71325;Tank;26;13.66;36.97;9776.53;;;480
1151;6/29/2019;1603;7/30/2023;111;3;;4557;43.4;69612;Tank;1409;15.41;36.63;12914.50;137.98;83;4557
1148;6/22/2019;1610;7/11/2023;130;3;;2328;49.8;80210;Tank;455;12.05;33.34;15357.29;146.86;87;2328
1145;6/4/2019;1628;9/13/2023;66;3;;337;41.9;68287;Tank;10;7.90;45.11;8107.32;;;337
1144;6/1/2019;1631;8/23/2023;87;3;;305;36.6;59688;Tank;117;12.57;38.60;10452.85;;;305
1142;5/25/2019;1638;8/26/2023;84;3;;731;37.1;60702;Tank;45;7.86;37.19;8549.26;;;731
1140;5/20/2019;1643;5/14/2023;188;3;;622;43.5;71459;Tank;38;11.78;30.42;21504.73;140.69;63;622
1139;5/13/2019;1650;9/24/2023;55;3;;162;39.2;64644;Tank;32;7.06;41.92;6246.67;;;162
1133;4/29/2019;1664;10/7/2023;42;3;;600;33.4;55519;Tank;;14.12;31.95;3371.86;;;600
1127;4/12/2019;1681;10/6/2023;43;3;;42;36.1;60685;Tank;18;10.81;53.00;4949.11;;;42
1126;4/7/2019;1686;1/15/2023;307;3;;82;48.7;82098;Tank;20;7.89;52.45;27348.86;106.26;72;82
1116;3/5/2019;1719;8/4/2023;106;3;;397;37.2;63975;Tank;;11.00;44.24;11476.25;128.15;42;397
1104;1/30/2019;1753;1/21/2023;294;3;;282;47.5;83337;Tank;44;10.98;33.95;28403.53;129.38;59;282
1102;1/27/2019;1756;4/19/2023;213;3;;200;50.8;89280;Tank;28;11.90;38.61;24485.16;135.55;93;200
1101;1/17/2019;1766;5/24/2023;178;3;;691;41.8;73763;Tank;81;9.59;30.82;19770.00;128.10;63;691
1099;1/8/2019;1775;12/12/2022;309;3;;257;42.0;74536;Tank;37;;;28843.08;110.75;29;257
1100;1/8/2019;1775;2/6/2023;285;3;;142;46.8;83075;Tank;35;9.77;41.89;33422.17;130.75;35;142
1098;1/7/2019;1776;3/10/2023;253;3;;4965;57.3;101829;Tank;258;10.38;43.85;31090.74;141.27;108;4965
1092;12/24/2018;1790;2/18/2023;273;3;;477;48.3;86510;Tank;35;11.34;39.89;28861.87;126.37;35;477
1091;12/22/2018;1792;2/14/2023;277;3;;5817;50.8;90954;Tank;149;9.48;45.61;32970.05;144.54;82;5817
1089;12/15/2018;1799;4/30/2023;202;3;;1037;47.7;85757;Tank;14;12.92;41.40;25256.36;146.17;51;1037
1088;12/15/2018;1799;12/22/2021;318;3;;154;37.1;66724;Tank;;;;20764.46;74.71;65;154
1084;12/9/2018;1805;6/20/2023;151;3;;617;35.7;64404;Tank;12;10.68;44.33;17286.71;132.65;102;617
1083;12/9/2018;1805;1/8/2023;265;3;;1557;34.4;62170;Tank;99;;;21342.47;100.41;50;1557
1081;12/6/2018;1808;3/4/2023;259;3;;905;50.9;92004;Tank;113;11.25;43.33;31236.66;137.60;38;905
1078;12/4/2018;1810;1/9/2023;306;3;;88;48.9;88534;Tank;34;10.05;41.65;27601.46;114.65;36;88
1074;11/20/2018;1824;4/9/2023;223;3;;4165;53.3;97220;Tank;33;12.39;36.04;28745.18;151.27;77;4165
1067;11/3/2018;1841;4/16/2023;216;3;;57;34.2;62876;Tank;;11.23;26.12;21360.61;121.77;46;57
1065;10/25/2018;1850;12/27/2022;294;3;;2962;43.5;80506;Tank;218;;;29665.05;124.52;78;2962
1061;10/18/2018;1857;2/6/2023;285;3;;280;45.5;84425;Tank;29;8.98;41.21;32298.24;129.48;136;280
1056;10/4/2018;1871;12/6/2022;315;3;;442;44.2;82627;Tank;311;;;30626.05;133.66;66;442
1052;9/19/2018;1886;11/29/2022;252;3;;2508;42.4;80018;Divert 2;1691;;;26984.32;139.02;46;2508
1042;8/20/2018;1916;1/4/2023;286;3;;102;37.7;72215;Tank;29;;;22563.85;92.76;83;102
1040;8/15/2018;1921;4/18/2023;214;3;;1911;56.5;108454;Tank;203;11.02;52.44;28302.07;156.13;94;1911
1039;8/13/2018;1923;1/19/2023;303;3;;165;49.0;94161;Tank;62;9.98;37.24;35642.30;146.19;54;165
1036;8/10/2018;1926;10/19/2022;346;3;;182;42.9;82692;Tank;35;;;34340.75;139.60;25;182
1014;7/3/2018;1964;9/5/2022;407;3;;220;45.2;88793;Tank;;;;35780.08;132.38;43;220
1003;6/21/2018;1976;7/26/2023;115;3;;228;38.5;76079;Tank;26;9.10;34.80;13368.59;138.39;56;228
985;5/28/2018;2000;12/20/2022;326;3;;237;44.1;88204;Tank;51;10.58;50.84;30280.03;109.80;52;237
978;5/20/2018;2008;3/29/2023;234;3;;951;46.8;94042;Tank;31;7.62;31.48;25578.92;132.35;34;951
973;5/13/2018;2015;1/8/2023;314;3;;3131;50.6;101977;Tank;;8.98;45.19;33392.10;127.05;144;3131
968;5/5/2018;2023;9/12/2022;359;3;;1414;42.8;86587;Tank;75;;;31535.87;113.72;47;1414
957;4/17/2018;2041;12/11/2022;335;3;;511;52.2;106464;Tank;21;10.19;69.09;36148.21;133.55;53;511
956;4/16/2018;2042;9/10/2022;385;3;;3182;44.3;90393;Tank;1217;;;35498.89;134.83;49;3182
948;4/6/2018;2052;9/6/2022;438;3;;288;53.9;110641;Tank;19;10.86;35.06;45251.08;139.05;47;288
937;3/19/2018;2070;11/20/2022;356;3;;817;45.6;94324;Tank;5;13.49;51.24;31792.80;114.77;49;817
1352;12/17/2020;1066;11/13/2023;5;2;;;17.8;19014;Tank;;12.49;32.49;292.40;;;
1335;11/22/2020;1091;10/4/2023;45;2;;168;20.5;22405;Tank;;13.43;36.14;4026.90;;;168
1334;11/19/2020;1094;9/30/2023;49;2;1;645;21.9;23967;Tank;;7.23;38.92;4978.61;;;645
1328;11/11/2020;1102;9/12/2023;67;2;1;1900;20.9;23079;Tank;;13.30;28.74;5816.77;;;1900
1323;11/6/2020;1107;9/13/2023;66;2;;202;23.2;25725;Tank;;8.40;30.12;4349.06;;;202
1325;10/11/2020;1133;8/24/2023;86;2;;1422;21.0;23812;Tank;;10.00;30.67;6504.96;;;1422
1321;10/4/2020;1140;8/28/2023;82;2;;1588;23.8;27098;Tank;38;15.12;38.20;8618.97;;;1588
1319;10/2/2020;1142;10/18/2023;31;2;1;2388;21.9;24953;Tank;55;11.26;26.51;1752.08;;;2388
1224;1/31/2020;1387;1/12/2023;303;2;;360;41.1;57052;Tank;32;14.82;55.42;30025.31;116.67;48;360
1315;9/16/2020;1158;10/5/2023;44;2;;548;18.9;21921;Tank;;9.88;33.12;3557.64;;;548
1314;9/14/2020;1160;11/16/2023;2;2;;;18.2;21167;Tank;;9.26;17.12;51.35;;;
1312;9/10/2020;1164;9/26/2023;53;2;;54;24.2;28165;Tank;;7.47;39.18;6316.86;;;54
1305;8/27/2020;1178;8/19/2023;91;2;4;4022;27.1;31903;Tank;189;6.65;36.44;8959.81;;;4022
1300;8/15/2020;1190;7/21/2023;120;2;;1540;25.4;30209;Tank;;10.12;29.99;11538.49;115.34;45;1540
1295;7/31/2020;1205;6/29/2023;142;2;;917;18.1;21780;Tank;;8.53;29.47;11487.50;96.62;99;917
1294;7/27/2020;1209;8/2/2023;108;2;;2451;25.5;30889;Tank;361;13.04;34.37;10180.75;119.58;20;2451
1293;7/26/2020;1210;6/4/2023;167;2;1;145;28.5;34444;Tank;;9.98;35.27;16445.36;114.84;23;145
1291;7/19/2020;1217;7/15/2023;126;2;;1565;26.6;32380;Tank;;12.01;26.87;12204.18;109.54;58;1565
1288;7/2/2020;1234;9/17/2023;62;2;13;91;28.0;34600;Tank;;6.89;49.41;6149.47;;;91
1286;6/22/2020;1244;7/24/2023;117;2;;948;19.6;24364;Tank;37;11.22;35.19;12201.13;122.27;72;948
1284;6/19/2020;1247;6/3/2023;168;2;;737;36.3;45316;Tank;;9.38;35.44;19308.07;138.98;41;737
1283;6/19/2020;1247;5/26/2023;176;2;;437;30.1;37521;Tank;44;13.30;37.69;17804.91;116.56;75;437
1282;6/17/2020;1249;9/6/2023;73;2;;1062;30.0;37432;Tank;65;10.71;36.09;8039.29;;;1062
1281;6/15/2020;1251;7/5/2023;136;2;1;111;31.4;39229;Tank;;10.87;39.56;14926.62;122.73;75;111
1279;6/12/2020;1254;9/20/2023;59;2;;1688;30.7;38469;Tank;96;13.37;37.97;6680.91;;;1688
1277;6/8/2020;1258;5/26/2023;176;2;;168;21.3;26758;Tank;51;7.55;33.23;15595.19;101.85;51;168
1276;6/4/2020;1262;7/23/2023;118;2;;411;32.2;40666;Tank;48;9.49;44.22;14989.96;146.43;64;411
1274;6/2/2020;1264;8/5/2023;105;2;;294;21.8;27609;Tank;47;9.76;32.61;9655.81;104.25;47;294
1273;5/31/2020;1266;4/25/2023;207;2;;877;29.7;37598;Tank;23;10.01;40.89;21057.54;118.04;81;877
1272;5/26/2020;1271;6/1/2023;170;2;2;68;31.0;39382;Tank;;9.85;39.21;17030.27;119.24;45;68
1271;5/23/2020;1274;6/22/2023;149;2;;334;29.4;37487;Tank;;10.98;44.86;15887.86;122.48;63;334
1270;5/19/2020;1278;6/14/2023;157;2;;1214;18.4;23556;Tank;;12.43;33.38;11789.42;91.23;99;1214
1268;5/18/2020;1279;11/2/2023;16;2;;1065;26.4;33808;Tank;309;14.46;34.97;1575.00;;;1065
1267;5/17/2020;1280;2/26/2023;265;2;;4197;36.7;46913;Tank;34;7.54;39.20;26732.22;131.79;116;4197
1266;5/13/2020;1284;4/9/2023;223;2;1;1125;33.5;43033;Tank;58;8.64;40.03;22658.48;119.51;76;1125
1264;5/8/2020;1289;3/4/2023;259;2;11;2840;32.4;41791;Tank;221;14.21;28.23;22389.89;98.46;34;2840
1263;5/6/2020;1291;5/17/2023;185;2;;425;31.1;40141;Tank;21;11.20;33.14;20228.19;131.09;67;425
1262;5/5/2020;1292;7/28/2023;113;2;3;1394;32.9;42456;Tank;;8.12;41.33;12085.61;118.14;97;1394
1261;5/5/2020;1292;6/29/2023;142;2;;280;31.0;40109;Tank;;10.99;43.80;16902.18;131.02;35;280
1259;5/1/2020;1296;3/13/2023;250;2;;394;36.1;46726;Tank;20;9.78;39.70;25893.63;116.98;102;394
1258;4/28/2020;1299;5/15/2023;187;2;1;394;30.2;39201;Tank;18;13.12;36.45;17304.79;105.03;126;394
1255;4/8/2020;1319;2/19/2023;272;2;;68;34.8;45898;Tank;14;11.26;37.96;26611.96;116.63;45;68
1252;4/2/2020;1325;5/1/2023;201;2;;271;29.5;39120;Tank;18;8.78;42.99;19658.64;118.24;82;271
1246;3/23/2020;1335;3/14/2023;249;2;;134;38.3;51166;Tank;39;9.80;31.66;26783.48;120.67;129;134
1245;3/23/2020;1335;2/23/2023;268;2;1;605;38.6;51515;Tank;88;13.78;42.90;28339.06;114.70;145;605
1244;3/23/2020;1335;7/9/2023;132;2;;494;30.6;40805;Tank;60;16.89;38.76;14423.50;131.21;37;494
1243;3/21/2020;1337;3/16/2023;247;2;;277;33.2;44389;Tank;49;15.29;35.73;23122.90;112.06;46;277
1241;3/18/2020;1340;7/21/2023;120;2;;980;36.8;49341;Tank;22;14.69;40.90;15063.55;143.88;67;980
1240;3/18/2020;1340;3/31/2023;232;2;;5568;46.0;61584;Tank;29;9.02;32.94;28378.66;140.11;54;5568
1237;3/14/2020;1344;1/10/2023;312;2;;148;36.5;49121;Tank;;11.48;35.14;29163.22;112.83;42;148
1236;3/13/2020;1345;4/28/2023;204;2;;2180;37.1;49921;Tank;25;7.47;37.62;22182.41;129.73;53;2180
1235;3/13/2020;1345;6/29/2023;142;2;;3108;33.3;44816;Tank;19;8.08;43.57;14853.47;124.80;93;3108
1233;3/2/2020;1356;3/16/2023;247;2;2;1060;37.6;50931;Tank;19;10.74;35.56;24325.46;112.62;45;1060
1232;3/1/2020;1357;1/30/2023;292;2;;442;37.0;50274;Tank;22;9.52;42.32;28018.07;112.00;69;442
1231;2/25/2020;1362;5/16/2023;186;2;;2911;42.1;57312;Tank;19;11.58;38.93;23794.80;151.78;39;2911
1225;2/2/2020;1385;1/3/2023;312;2;;1277;28.0;38792;Tank;163;11.24;28.22;24529.67;96.56;54;1277
1223;1/30/2020;1388;1/9/2023;313;2;;131;41.4;57520;Tank;;10.37;24.39;31026.43;113.97;42;131
1219;1/21/2020;1397;1/15/2023;307;2;4;2777;37.8;52823;Tank;389;10.71;35.06;29393.80;115.78;42;2777
1216;1/18/2020;1400;1/22/2023;293;2;;97;42.3;59236;Tank;;12.17;42.59;31195.95;126.14;147;97
1215;1/18/2020;1400;12/16/2022;330;2;;3714;38.8;54385;Tank;;10.05;52.01;31274.25;112.31;24;3714
1212;1/13/2020;1405;2/8/2023;283;2;1;780;37.4;52527;Tank;147;11.01;38.90;25341.61;105.98;58;780
1207;1/3/2020;1415;1/25/2023;297;2;;1597;31.5;44641;Tank;441;9.08;31.41;28468.76;111.08;46;1597
1204;12/28/2019;1421;1/18/2023;297;2;;65;33.7;47894;Tank;19;10.58;51.48;27214.44;111.95;44;65
1200;12/24/2019;1425;11/26/2022;357;2;;345;33.6;47848;Tank;31;8.80;31.08;29563.99;96.64;84;345
1199;12/24/2019;1425;11/18/2022;333;2;;317;41.8;59627;Tank;51;;;31603.54;124.28;20;317
1198;12/23/2019;1426;1/12/2023;310;2;1;405;31.5;44885;Tank;56;12.18;29.73;26546.59;103.74;31;405
1192;12/1/2019;1448;11/29/2022;354;2;1;225;45.2;65473;Tank;15;10.92;37.27;35458.32;122.59;43;225
1191;11/30/2019;1449;11/5/2022;329;2;;148;28.0;40620;Tank;69;;;24412.03;102.51;35;148
1171;8/29/2019;1542;1/3/2023;319;2;;240;44.4;68394;Tank;36;14.47;38.03;32691.61;123.12;61;240
1158;7/11/2019;1591;10/13/2022;352;2;;125;40.8;64984;Tank;51;;;33659.17;130.55;32;125
1149;6/26/2019;1606;9/29/2022;313;2;;3540;33.1;53105;Divert 2;1793;;;28437.52;120.03;49;3540
1146;6/15/2019;1617;6/26/2022;461;2;;51;47.3;76439;Tank;21;;;46036.19;136.53;31;51
1094;1/4/2019;1779;9/19/2022;418;2;;1551;44.7;79563;Tank;62;13.89;41.18;41456.17;147.10;45;1551
1058;10/7/2018;1868;8/29/2022;446;2;1;1720;51.9;96959;Tank;272;9.10;36.90;50077.11;154.44;42;1720
1511;12/22/2021;696;11/14/2023;4;1;2;;0.2;105;Tank;;8.50;15.07;105.47;;;
1507;12/17/2021;701;11/10/2023;8;1;2;;0.2;172;Tank;;5.60;11.98;172.00;;;
1504;12/10/2021;708;11/5/2023;13;1;;171;0.4;259;Tank;;5.62;11.01;258.98;;;171
1503;12/9/2021;709;11/10/2023;8;1;;;0.5;358;Tank;;8.48;24.00;357.92;;;
1501;12/4/2021;714;10/27/2023;22;1;7;160;1.7;1227;Tank;;10.34;32.73;1227.29;;;160
1495;11/23/2021;725;10/27/2023;22;1;2;65;1.5;1069;Tank;;9.63;25.20;1068.58;;;65
1489;11/20/2021;728;11/9/2023;9;1;;;0.7;508;Tank;;12.51;31.68;507.97;;;
1487;11/20/2021;728;10/23/2023;26;1;1;134;2.2;1631;Tank;;8.15;27.00;1630.56;;;134
1486;11/20/2021;728;9/14/2023;65;1;;720;5.6;4050;Tank;;13.37;21.91;4049.98;;;720
1485;11/11/2021;737;10/26/2023;23;1;;214;1.9;1408;Tank;;6.15;21.95;1407.92;;;214
1484;11/9/2021;739;11/16/2023;2;1;;;0.1;48;Tank;;8.10;12.04;48.17;;;
1483;11/7/2021;741;10/25/2023;24;1;;248;2.3;1706;Tank;;12.14;27.60;1706.29;;;248
1480;11/2/2021;746;10/21/2023;28;1;1;317;2.4;1816;Tank;;6.08;36.31;1815.71;;;317
1479;11/2/2021;746;11/13/2023;5;1;;;0.3;205;Tank;;9.26;22.80;205.23;;;
1478;11/1/2021;747;9/6/2023;73;1;;717;7.0;5249;Tank;;11.41;24.44;5248.55;;;717
1477;10/30/2021;749;9/6/2023;73;1;;662;5.8;4344;Tank;;5.26;25.29;4344.50;;;662
1476;10/29/2021;750;10/15/2023;34;1;5;294;2.4;1763;Tank;;5.37;19.85;1763.15;;;294
1475;10/29/2021;750;10/9/2023;40;1;;622;4.0;3013;Tank;;14.08;39.72;3013.28;;;622
1474;10/27/2021;752;9/5/2023;74;1;;62;7.5;5619;Tank;;9.33;30.59;5618.92;;;62
1473;10/23/2021;756;10/27/2023;22;1;;468;1.7;1305;Tank;;9.82;30.47;1305.14;;;468
1472;10/22/2021;757;9/18/2023;61;1;;177;4.3;3220;Tank;;6.00;23.32;3219.54;;;177
1471;10/21/2021;758;10/4/2023;45;1;1;57;4.4;3320;Tank;;10.25;26.93;3319.83;;;57
1470;10/14/2021;765;10/9/2023;40;1;;311;3.3;2529;Tank;;11.05;19.36;2528.79;;;311
1468;10/10/2021;769;9/1/2023;78;1;;248;6.7;5164;Tank;;7.62;30.95;5164.48;;;248
1465;10/3/2021;776;8/2/2023;108;1;3;128;8.7;6759;Tank;;6.19;24.12;6758.96;74.48;57;128
1463;9/26/2021;783;9/6/2023;73;1;;322;8.2;6421;Tank;;8.31;44.22;6421.45;;;322
1462;9/23/2021;786;10/31/2023;18;1;1;20;1.5;1167;Tank;;15.56;30.11;1166.82;;;20
1461;9/20/2021;789;9/4/2023;75;1;;411;7.6;6007;Tank;;10.03;28.88;6007.38;;;411
1460;9/10/2021;799;8/2/2023;108;1;1;294;8.3;6599;Tank;;4.97;21.85;6599.01;72.13;107;294
1458;9/8/2021;801;9/26/2023;53;1;;420;3.7;3003;Tank;;8.90;22.57;3002.67;;;420
1457;9/3/2021;806;10/10/2023;39;1;3;265;4.0;3246;Tank;;9.70;30.14;3245.67;;;265
1456;9/3/2021;806;7/9/2023;132;1;;417;11.3;9118;Tank;;7.60;21.50;9117.57;78.13;54;417
1455;9/2/2021;807;7/3/2023;138;1;;500;10.5;8445;Tank;;9.70;21.34;8444.52;74.28;102;500
1454;8/31/2021;809;7/31/2023;110;1;;371;10.6;8610;Tank;;6.47;31.57;8609.82;91.18;72;371
1453;8/23/2021;817;8/16/2023;94;1;1;397;9.2;7499;Tank;;12.26;28.60;7499.09;;;397
1451;8/18/2021;822;6/24/2023;147;1;9;362;11.7;9650;Tank;;10.99;22.29;9649.50;73.91;64;362
1449;8/13/2021;827;7/9/2023;132;1;;954;15.0;12381;Tank;;13.26;35.16;12380.57;109.31;45;954
1447;8/5/2021;835;6/8/2023;163;1;;1760;16.1;13445;Tank;;7.00;24.85;13445.22;96.60;64;1760
1443;7/19/2021;852;7/27/2023;114;1;;600;10.1;8621;Tank;;5.59;29.84;8621.05;86.78;65;600
1442;7/19/2021;852;6/5/2023;166;1;;162;13.7;11695;Tank;;9.21;25.31;11695.39;82.83;129;162
1441;7/18/2021;853;;193;1;;3102;13.2;11301;Tank;;8.26;23.56;11300.92;65.96;93;3102
1440;7/17/2021;854;6/21/2023;150;1;;445;9.4;8044;Tank;;6.15;18.40;8043.59;63.07;134;445
1437;6/21/2021;880;6/11/2023;160;1;;765;11.9;10516;Tank;;8.96;30.79;10515.63;74.82;118;765
1436;6/17/2021;884;4/25/2023;207;1;;120;18.4;16292;Tank;;9.65;28.96;16292.21;91.66;136;120
